OMA_group,seq_Mus,seq_Rattus,seq_Pan,seq_Homo,seq_Macaca,seq_Gorilla,seq_V2,seq_V5,seq_V7,seq_V9,seq_root,tree_Mus,tree_Rattus,tree_Pan,tree_Homo,tree_Macaca,tree_Gorilla,tree_V2,tree_V5,tree_V7,tree_V9,tree_root,is_gappy
585578,943,949,940,939,939,906,942,939,939,939,939,0.0067,0.00669,0.02629,0.0001,0.0052,0.00223,0.00959,0.0001,0.00151,0.00957,0,1
605352,561,561,566,566,485,551,561,566,565,565,560,0.01092,0.00646,0.0001,0.0001,0.03797,0.00812,0.0187,0.00074,0.0001,0.0187,0,1
611297,208,208,208,208,208,153,208,208,208,208,208,0.0001,0.0001,0.0001,0.0001,0.0001,0.04168,0.0001,0.0001,0.0001,0.0001,0,1
619788,350,350,350,350,350,353,350,350,350,350,350,0.01802,0.02145,0.00861,0.00861,0.01739,0.08044,0.03542,0.00285,0.0145,0.03524,0,1
624867,701,726,741,741,741,735,722,741,762,762,722,0.0055,0.0017,0.0001,0.00143,0.00429,0.06667,0.0234,0.0001,0.0001,0.0233,0,1
625434,780,780,780,780,784,768,780,780,780,780,780,0.0118,0.01099,0.0001,0.00132,0.00373,0.1063,0.00902,0.0001,0.003,0.00902,0,1
626932,358,358,325,356,321,357,358,356,356,356,356,0.00468,0.02176,0.04532,0.0001,0.1677,0.0001,0.01987,0.00362,0.0041,0.01983,0,1
648115,684,699,699,699,699,705,699,699,699,699,699,0.01547,0.00844,0.00292,0.00292,0.00917,0.05298,0.02002,0.00148,0.00267,0.02,0,1
653351,545,545,545,545,545,577,545,545,545,545,545,0.00742,0.00175,0.00184,0.0001,0.00366,0.05446,0.0083,0.0001,0.00369,0.00846,0,1
653565,551,551,536,536,536,545,551,536,545,545,545,0.02987,0.02427,0.00691,0.00812,0.01338,0.11352,0.04347,0.00282,0.00972,0.04349,0,1
653867,1020,1020,1016,1020,1020,1020,1020,1020,1020,1020,1020,0.0001,0.0001,0.01295,0.0001,0.04564,0.00099,0.00352,0.0001,0.0019,0.00347,0,1
670150,254,254,254,254,255,257,254,254,254,254,254,0.00331,0.02419,0.0001,0.0001,0.01597,0.13241,0.04515,0.0001,0.01293,0.04515,0,1
674214,929,929,933,933,929,1117,929,933,918,924,923,0.01815,0.00341,0.00109,0.0001,0.00576,0.04291,0.01282,0.01826,0.02736,0.01282,0,1
676127,414,414,414,414,408,414,414,414,414,414,414,0.00868,0.00947,0.00245,0.0001,0.03292,0.0001,0.00663,0.0001,0.0001,0.00482,0,1
689994,186,186,176,186,186,186,186,186,186,186,186,0.01146,0.01134,0.04231,0.0001,0.00569,0.01146,0.01441,0.0001,0.01727,0.01441,0,1
690235,1151,1148,1141,1151,1151,1132,1151,1151,1151,1151,1151,0.00273,0.00455,0.04144,0.0001,0.0009,0.0001,0.01003,0.0001,0.00273,0.0001,0,1
707164,417,417,417,417,417,414,417,417,417,417,417,0.00731,0.00987,0.00488,0.0001,0.0001,0.13229,0.01738,0.00237,0.00494,0.01738,0,1
716269,316,316,318,318,293,318,316,318,318,318,316,0.01162,0.01671,0.0001,0.0001,0.07272,0.0035,0.02753,0.0001,0.00579,0.02753,0,1
716358,310,310,310,310,283,283,310,310,310,310,310,0.02484,0.01569,0.02372,0.00388,0.1471,0.02167,0.04941,0.01085,0.04205,0.04941,0,1
730961,490,490,490,490,490,488,490,490,490,490,490,0.01034,0.00824,0.00411,0.0001,0.00687,0.03804,0.0193,0.0001,0.00904,0.0193,0,1
731090,623,623,603,622,622,567,623,622,622,622,616,0.01239,0.01218,0.10509,0.0001,0.00323,0.0001,0.0295,0.0001,0.00797,0.0295,0,1
731322,520,520,517,520,520,520,520,520,520,520,520,0.00156,0.00431,0.02575,0.0001,0.00389,0.0001,0.01177,0.0001,0.00389,0.01177,0,1
736928,418,418,411,417,417,416,418,417,417,417,417,0.00494,0.00498,0.0001,0.0001,0.00248,0.04854,0.0115,0.0001,0.0049,0.01092,0,1
739165,489,490,489,489,472,470,489,489,489,489,489,0.00301,0.00126,0.0001,0.0001,0.00964,0.08788,0.00962,0.0001,0.00343,0.00961,0,1
739664,706,668,634,709,440,769,708,709,709,709,708,0.00234,0.00237,0.00234,0.0001,0.00705,0.03134,0.00472,0.0001,0.0001,0.00467,0,1
743841,591,582,599,599,599,590,591,599,599,599,590,0.0001,0.06542,0.00172,0.0001,0.00346,0.0001,0.01135,0.00172,0.00172,0.01129,0,1
747124,704,704,704,704,600,706,704,704,704,704,704,0.01152,0.01393,0.00167,0.0067,0.00198,0.1294,0.03263,0.0001,0.00473,0.03263,0,1
751685,768,785,768,768,768,803,768,768,768,768,768,0.01212,0.07018,0.0001,0.00131,0.00554,0.01319,0.01785,0.0001,0.00234,0.01785,0,1
752182,368,368,368,368,369,349,368,368,368,368,368,0.01004,0.00758,0.0001,0.0001,0.0001,0.22272,0.01911,0.0001,0.0029,0.01925,0,1
759160,786,786,768,787,763,782,786,787,787,787,786,0.00552,0.00137,0.0567,0.00139,0.04731,0.01671,0.00482,0.0001,0.00136,0.00483,0,1
760754,296,296,266,291,303,291,296,291,291,291,291,0.0001,0.0001,0.0001,0.0001,0.01926,0.0038,0.008,0.0001,0.0001,0.0034,0,1
763741,792,792,792,792,792,789,792,792,792,792,792,0.00384,0.00382,0.0001,0.00127,0.00378,0.04208,0.00966,0.0001,0.00132,0.00966,0,1
764292,325,325,397,325,325,325,325,325,325,325,325,0.0001,0.00638,0.10131,0.0001,0.00415,0.00251,0.03826,0.00167,0.00452,0.03826,0,1
770334,1712,1730,1664,1676,1592,1739,1731,1676,1702,1720,1731,0.00611,0.14778,0.0434,0.00139,0.00216,0.00138,0.01358,0.0001,0.00347,0.01436,0,1
781307,1280,1279,1238,1279,1238,1253,1280,1277,1277,1277,1277,0.01075,0.08853,0.00165,0.00247,0.00532,0.00679,0.03393,0.0015,0.00815,0.03392,0,1
795713,720,732,720,720,720,719,720,720,720,720,720,0.00417,0.0084,0.0001,0.0001,0.0001,0.03453,0.00351,0.0001,0.00139,0.00349,0,1
799104,876,943,860,951,860,809,851,860,860,860,851,0.02224,0.01192,0.00126,0.00251,0.00407,0.09691,0.04331,0.0001,0.00598,0.04331,0,1
807142,455,455,468,455,455,468,455,455,455,455,455,0.00899,0.00234,0.0607,0.0001,0.00435,0.00225,0.01585,0.0001,0.00727,0.01585,0,1
807167,356,356,305,356,356,358,356,356,356,356,356,0.00929,0.01104,0.03691,0.0001,0.00329,0.0001,0.01317,0.0001,0.0001,0.01317,0,1
807193,1848,1855,1849,1849,1849,1768,1848,1849,1849,1849,1848,0.00885,0.00623,0.0001,0.0001,0.00198,0.04299,0.01401,0.0001,0.00259,0.01419,0,1
807267,350,283,350,350,350,348,350,350,350,350,350,0.00392,0.0001,0.0001,0.0001,0.0001,0.08798,0.00196,0.0001,0.0001,0.00196,0,1
807433,963,963,961,963,937,963,963,963,963,963,963,0.00534,0.00219,0.00863,0.00107,0.03413,0.0001,0.01036,0.00107,0.00416,0.01036,0,1
807543,591,591,583,586,586,646,591,586,586,586,582,0.0074,0.00489,0.08664,0.0001,0.04461,0.01916,0.03331,0.00197,0.008,0.03331,0,1
807575,621,621,621,621,621,621,621,621,621,621,621,0.00941,0.0153,0.00164,0.00162,0.00952,0.09847,0.02492,0.0001,0.00356,0.02492,0,1
807700,1107,998,1108,1108,1107,1108,1107,1108,1108,1108,1107,0.00742,0.06872,0.001,0.00301,0.00905,0.0001,0.01163,0.001,0.00403,0.0119,0,1
807822,432,432,409,432,432,432,432,432,432,432,432,0.00928,0.0082,0.14082,0.0001,0.01009,0.00741,0.02748,0.0001,0.00822,0.02748,0,1
808044,380,380,379,379,297,327,380,379,379,379,379,0.00338,0.0001,0.0001,0.0001,0.03836,0.00337,0.00349,0.0001,0.0001,0.00326,0,1
808174,287,293,259,287,287,287,287,287,287,287,287,0.00425,0.1789,0.14694,0.0001,0.00389,0.0001,0.00378,0.0001,0.0001,0.00378,0,1
808175,1533,1525,1399,1529,1439,1395,1533,1479,1481,1526,1526,0.00858,0.00681,0.00421,0.00068,0.00146,0.08312,0.0106,0.00167,0.00216,0.01062,0,1
808194,1560,1567,1581,1581,1567,1564,1568,1581,1581,1567,1567,0.01153,0.01336,0.00065,0.0001,0.00342,0.04878,0.01954,0.0006,0.00181,0.01954,0,1
808257,834,834,740,834,834,824,834,834,834,834,834,0.00482,0.0106,0.06154,0.0001,0.00561,0.0022,0.02259,0.00084,0.00382,0.02259,0,1
808512,469,470,474,474,474,532,469,474,474,474,467,0.00481,0.00242,0.0001,0.0001,0.0001,0.03201,0.01454,0.0001,0.0024,0.01464,0,1
808538,564,608,664,567,567,562,564,567,567,567,564,0.0095,0.10159,0.0018,0.0001,0.00588,0.00539,0.01403,0.0001,0.00864,0.01403,0,1
808649,420,322,420,420,420,420,420,420,420,420,420,0.00258,0.12656,0.0001,0.0001,0.0001,0.0001,0.00965,0.0001,0.0001,0.00966,0,1
808743,541,541,533,541,541,541,541,541,541,541,541,0.00562,0.0001,0.04073,0.0001,0.0001,0.00188,0.01231,0.00376,0.00188,0.01232,0,1
808822,502,502,502,502,477,532,502,502,502,502,502,0.00419,0.00634,0.00211,0.00421,0.03497,0.0021,0.00528,0.0021,0.0001,0.00527,0,1
808885,762,762,762,762,762,765,762,762,762,762,762,0.00364,0.00846,0.0001,0.0001,0.00151,0.06389,0.01385,0.0001,0.00245,0.01396,0,1
808950,1467,1466,1467,1467,1467,1469,1466,1467,1467,1467,1466,0.01084,0.04244,0.00069,0.00069,0.00647,0.00068,0.01415,0.0001,0.00184,0.01417,0,1
809216,589,633,592,592,590,597,589,592,592,590,590,0.26839,0.43843,0.00768,0.00425,0.00899,0.06381,0.06293,0.01191,0.02984,0.05806,0,1
809345,469,469,518,470,470,470,469,470,470,470,469,0.00642,0.0001,0.02633,0.0001,0.00214,0.0001,0.00644,0.00214,0.00214,0.00644,0,1
809357,204,204,204,204,204,217,204,204,204,204,204,0.02576,0.01619,0.00517,0.0001,0.01551,0.05415,0.0399,0.0001,0.0104,0.03989,0,1
809603,322,327,330,330,330,330,322,330,330,330,322,0.03341,0.16692,0.0001,0.00309,0.00179,0.0062,0.04648,0.0001,0.0045,0.04648,0,1
809679,543,535,524,543,540,543,543,543,543,543,543,0.0097,0.0001,0.03403,0.0001,0.01571,0.0001,0.00188,0.0001,0.0001,0.00586,0,1
810070,478,478,401,478,478,478,478,478,478,478,478,0.0001,0.00764,0.07304,0.0001,0.0001,0.0001,0.01281,0.0001,0.00509,0.01279,0,1
810142,680,680,684,684,658,600,680,684,684,680,680,0.01843,0.01158,0.00581,0.00099,0.02145,0.09534,0.03093,0.00073,0.01283,0.03093,0,1
810296,1947,1951,1951,2000,2000,1957,1951,1951,1951,1951,1951,0.00453,0.00708,0.00104,0.00051,0.00538,0.06148,0.01004,0.00061,0.00176,0.01006,0,1
811159,2433,2434,2364,2436,2414,2424,2434,2437,2437,2437,2433,0.01391,0.01695,0.08315,0.00131,0.00758,0.00126,0.02796,0.0009,0.00519,0.02796,0,1
811505,520,522,520,520,520,491,520,520,520,520,520,0.00195,0.01249,0.0001,0.00408,0.0001,0.05985,0.0145,0.0001,0.00204,0.01451,0,1
811794,1455,1269,1045,1460,1068,1080,1431,1460,1460,1460,1431,0.00213,0.00319,0.00212,0.0001,0.00428,0.00106,0.00372,0.0001,0.0001,0.00373,0,1
811998,1001,992,879,1001,1001,1001,1001,1001,1001,1001,1001,0.0001,0.01518,0.0001,0.0001,0.00115,0.0001,0.00156,0.0001,0.00115,0.00305,0,1
812035,950,950,958,958,958,990,950,958,958,958,950,0.01283,0.01784,0.00317,0.00318,0.01057,0.09324,0.0412,0.00085,0.00686,0.04119,0,1
812165,509,520,539,539,342,539,509,539,539,509,509,0.00623,0.00319,0.0001,0.0001,0.0001,0.0001,0.01428,0.0001,0.0001,0.01427,0,1
812371,453,453,453,453,453,453,453,453,453,453,453,0.03068,0.02472,0.00455,0.00921,0.00811,0.1648,0.06131,0.00328,0.01178,0.0613,0,1
812489,876,914,944,981,922,981,977,981,981,981,977,0.03031,0.02246,0.00127,0.00507,0.00619,0.00253,0.04142,0.0001,0.00802,0.04142,0,1
813031,781,698,698,789,647,891,897,898,898,898,897,0.00376,0.1131,0.00565,0.0001,0.00256,0.00375,0.01614,0.00378,0.01472,0.01613,0,1
813209,1310,1306,1320,1321,1319,1321,1308,1321,1321,1319,1308,0.00852,0.06222,0.00231,0.00308,0.00457,0.00164,0.02693,0.00068,0.0041,0.02692,0,1
813314,547,600,601,601,541,601,586,601,609,609,583,0.02176,0.09011,0.00195,0.0001,0.00594,0.0001,0.02974,0.0001,0.00389,0.02974,0,1
813686,647,647,647,647,613,649,647,647,647,647,647,0.00963,0.00704,0.0001,0.0001,0.02492,0.0673,0.01907,0.0001,0.00507,0.01907,0,1
814446,578,613,568,595,564,595,608,595,595,595,590,0.01299,0.13161,0.00384,0.0058,0.0198,0.00193,0.0507,0.00193,0.00742,0.0507,0,1
814485,298,298,294,294,283,316,298,294,294,294,294,0.01271,0.01358,0.0001,0.01123,0.00733,0.0538,0.03493,0.0001,0.01139,0.03493,0,1
814905,507,473,476,470,416,470,473,476,476,476,473,0.01225,0.00243,0.0001,0.0001,0.0954,0.0001,0.01118,0.0001,0.0024,0.01119,0,1
814935,561,526,577,584,566,490,553,578,570,574,549,0.03927,0.0738,0.0001,0.00215,0.00669,0.00178,0.02739,0.00251,0.01318,0.02739,0,1
816167,1912,1937,1792,1912,1824,1913,1912,1912,1912,1912,1912,0.00097,0.0031,0.00877,0.00058,0.02445,0.00116,0.00735,0.00059,0.0005,0.00735,0,1
816247,787,787,701,788,746,788,787,788,788,788,787,0.01989,0.01763,0.15596,0.0001,0.01271,0.0001,0.03754,0.00153,0.00432,0.03754,0,1
816841,2639,2639,2703,2647,2611,2647,2639,2647,2647,2639,2639,0.00475,0.00311,0.02622,0.0001,0.01627,0.00217,0.01018,0.00055,0.00215,0.00862,0,1
817418,433,447,432,432,432,440,433,432,432,432,432,0.00248,0.07318,0.0001,0.00233,0.00252,0.01408,0.0376,0.00233,0.00214,0.0004,0,1
818064,417,417,419,424,372,399,417,424,424,417,417,0.0001,0.0001,0.0608,0.0001,0.00292,0.00879,0.01474,0.00292,0.00292,0.01474,0,1
818622,373,375,378,380,333,381,375,380,380,380,374,0.01036,0.02024,0.00302,0.0001,0.16043,0.0001,0.03266,0.00303,0.00705,0.03266,0,1
818954,595,613,597,597,597,626,597,597,597,597,597,0.0109,0.00629,0.0001,0.0001,0.00396,0.04464,0.02141,0.00234,0.0075,0.0214,0,1
820122,1730,1741,1732,1724,1596,1643,1730,1722,1714,1714,1711,0.00253,0.0305,0.00528,0.00393,0.0897,0.00372,0.01839,0.00087,0.00268,0.0184,0,1
891931,790,791,790,790,790,790,790,790,790,790,790,0.00755,0.02341,0.0001,0.00127,0.00253,0.00127,0.00964,0.00129,0.0001,0.00963,0,1
931267,236,253,256,256,256,256,236,256,256,256,236,0.00459,0.06654,0.00425,0.0001,0.00425,0.0001,0.01498,0.0001,0.0001,0.01499,0,1
931767,5061,5012,5037,5038,4309,4905,5031,5038,5037,5028,5031,0.00395,0.0909,0.00097,0.00145,0.00584,0.02645,0.01363,0.00048,0.00271,0.01517,0,1
931901,968,968,968,968,968,967,968,968,968,968,968,0.01045,0.0147,0.00208,0.0001,0.00414,0.07451,0.02354,0.00097,0.00532,0.00407,0,1
932189,487,486,487,487,487,488,487,487,487,487,487,0.01383,0.07219,0.0001,0.0001,0.00206,0.0001,0.01684,0.00205,0.00204,0.01684,0,1
938054,696,696,696,696,696,696,696,696,696,696,696,0.00288,0.0001,0.0001,0.0001,0.0001,0.01903,0.01037,0.00144,0.0001,0.00262,0,1
938893,635,635,635,635,547,626,635,635,635,635,635,0.00184,0.00185,0.0001,0.0001,0.0001,0.05946,0.00171,0.0001,0.0001,0.00201,0,1
941490,1171,1152,1170,1170,1170,1170,1170,1170,1170,1170,1170,0.01252,0.04177,0.00175,0.00087,0.0044,0.0001,0.01695,0.00088,0.00084,0.01694,0,1
942442,919,918,818,917,917,917,918,917,917,917,917,0.01688,0.01189,0.03793,0.0001,0.00614,0.00122,0.01414,0.0001,0.00366,0.01412,0,1
947117,168,167,142,167,167,168,167,168,168,167,167,0.01313,0.00111,0.07593,0.0001,0.0001,0.0001,0.01425,0.0001,0.0001,0.01425,0,1
949173,163,159,163,163,163,163,163,163,163,163,163,0.0001,0.05976,0.0001,0.0001,0.00719,0.0001,0.01272,0.00641,0.01886,0.01275,0,1
952688,209,209,212,212,180,212,209,212,212,209,209,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0,1
952895,618,589,645,645,573,564,618,645,618,627,627,0.00351,0.03732,0.0001,0.0001,0.0001,0.0001,0.00777,0.0001,0.00355,0.00657,0,1
954050,731,744,730,730,730,729,731,730,730,730,729,0.00743,0.0123,0.00416,0.0001,0.00831,0.13194,0.03742,0.00281,0.00138,0.03742,0,1
954346,508,505,468,468,391,437,508,468,468,469,463,0.0097,0.01622,0.0001,0.0001,0.01128,0.06841,0.02121,0.0001,0.00274,0.02119,0,1
958004,1954,1946,1949,1949,1949,1935,1954,1949,1949,1949,1946,0.01462,0.0198,0.0011,0.00575,0.00764,0.12975,0.04554,0.00366,0.00457,0.04555,0,1
960461,411,411,409,409,409,413,411,409,409,409,409,0.01354,0.01579,0.00244,0.0001,0.00675,0.11284,0.02274,0.00489,0.00565,0.02274,0,1
970584,646,644,647,647,647,647,646,647,647,647,646,0.0048,0.07325,0.00155,0.00311,0.0001,0.0001,0.01974,0.0001,0.0001,0.01974,0,1
971519,1223,1106,1321,1217,1326,1210,1224,1323,1323,1323,1219,0.01326,0.09894,0.00188,0.00091,0.0072,0.00286,0.03637,0.00181,0.005,0.03637,0,1
973945,770,770,727,770,770,770,770,770,770,770,770,0.00794,0.01311,0.04718,0.00275,0.00554,0.00275,0.01034,0.0001,0.00411,0.01034,0,1
975532,1064,1070,1084,1070,1070,1065,1070,1070,1070,1070,1070,0.00934,0.00627,0.00095,0.0001,0.00094,0.05522,0.01584,0.00063,0.0013,0.01584,0,1
975924,1278,1274,1274,1274,1274,1160,1276,1274,1274,1274,1270,0.01336,0.02004,0.00078,0.00359,0.01632,0.08768,0.03723,0.00158,0.00902,0.03723,0,1
975945,197,197,197,197,197,198,197,197,197,197,197,0.01049,0.00479,0.01022,0.00514,0.00718,0.06465,0.03133,0.00457,0.01951,0.03133,0,1
976952,302,302,301,315,294,314,302,314,314,302,302,0.03414,0.04603,0.06364,0.00474,0.20112,0.00451,0.0529,0.01365,0.09514,0.0529,0,1
977025,595,526,644,644,578,644,594,644,644,602,592,0.00192,0.0019,0.00191,0.00191,0.0001,0.0001,0.00577,0.0001,0.0001,0.00576,0,1
984832,767,748,765,765,767,766,767,765,765,767,767,0.00403,0.00539,0.0001,0.0001,0.00126,0.02889,0.00953,0.0001,0.00546,0.00953,0,1
985009,283,283,283,283,283,285,283,283,283,283,283,0.0001,0.0001,0.0001,0.0001,0.00355,0.14834,0.00533,0.0001,0.00355,0.00533,0,1
985210,413,411,415,415,415,417,413,415,417,417,413,0.0159,0.17089,0.00501,0.00484,0.02449,0.00463,0.0343,0.00283,0.01942,0.03432,0,1
985669,712,731,730,730,730,707,731,730,730,730,730,0.01026,0.0055,0.00284,0.00142,0.00833,0.08728,0.02398,0.0001,0.00305,0.02398,0,1
986681,267,268,267,267,267,267,267,267,267,267,267,0.02493,0.1453,0.00751,0.0001,0.0001,0.0001,0.05519,0.0001,0.00374,0.05519,0,1
987903,837,837,843,702,839,851,837,843,843,839,837,0.02415,0.00972,0.00296,0.13614,0.00535,0.0001,0.03708,0.00142,0.0049,0.03708,0,1
988292,726,726,723,723,749,706,726,723,723,723,717,0.00935,0.00942,0.00286,0.0043,0.00634,0.24759,0.03023,0.00169,0.00649,0.03023,0,1
989775,814,580,730,883,730,823,810,806,806,806,806,0.01121,0.07708,0.00178,0.00178,0.00538,0.00179,0.02136,0.0001,0.00356,0.02136,0,1
990193,783,714,781,781,756,689,778,781,776,813,776,0.00145,0.00146,0.00145,0.0001,0.0001,0.00145,0.00953,0.0001,0.00582,0.00952,0,1
995060,871,842,840,859,849,859,842,859,859,859,842,0.0001,0.00375,0.17724,0.0001,0.05142,0.0001,0.00819,0.0001,0.0001,0.00821,0,1
995492,602,579,602,602,602,602,602,602,602,602,602,0.00707,0.04413,0.00176,0.00176,0.007,0.00704,0.01784,0.0001,0.00708,0.01784,0,1
996427,123,145,145,145,145,180,145,145,145,145,145,0.24757,0.01391,0.0085,0.01712,0.00852,0.0001,0.07501,0.0001,0.01695,0.07501,0,1
997282,1274,977,1274,1274,1260,1253,1274,1274,1274,1274,1274,0.00912,0.05922,0.0001,0.0001,0.01934,0.00104,0.01907,0.0001,0.00379,0.01907,0,1
999626,1391,1390,1391,1391,1449,1422,1390,1391,1423,1423,1390,0.00684,0.00859,0.00217,0.00289,0.00257,0.09508,0.02059,0.0001,0.0025,0.0206,0,1
1000074,278,278,280,280,280,280,278,280,280,280,278,0.0661,0.01883,0.01088,0.0001,0.01387,0.00362,0.09025,0.0036,0.00078,0.14109,0,1
1000075,335,336,337,349,349,349,336,349,349,349,336,0.05612,0.01656,0.01237,0.0001,0.01047,0.0001,0.05683,0.0001,0.0197,0.08089,0,1
1000125,842,813,797,812,787,812,806,812,812,813,806,0.17947,0.16533,0.00618,0.00394,0.06332,0.0115,0.23585,0.00262,0.04246,0.35199,0,1
1000176,175,176,178,178,178,178,175,178,178,178,175,0.06595,0.06451,0.00561,0.0001,0.02107,0.02274,0.1669,0.0001,0.02013,0.18998,0,1
