,OMA_group,aln_len,total_gap_count,msa_gap_count,asr_gap_count,min_gap_count,spc_wmin_gap_count,max_gap_count,spc_wmax_gap_count,gap_ratio,num_gappy_sites,avg_gap_len,median_gap_len,mode_gap_len,min_gap_len,spc_wmin_gap_len,max_gap_len,spc_wmax_gap_len,num_ins,num_del,indel_ratio,is_gappy,mu,lambda,loglikelihood,intensity,expected_len,tree_len
84,993066,380,2,2,0,0,Mus,2,Rattus,0.0004784688995215,2,1.0,1.0,1,0,Mus,1,Rattus,2,2,1.0,1,0.334211,122.726,-2883.3,367.2111331,41.0163792,0.0983
85,993071,1249,104,55,49,4,Gorilla,18,Mus,0.0075696921173302,23,1.6507936507936507,1.0,1,1,Mus,8,Mus,23,6,0.2608695652173913,1,0.0658926,79.4739,-11932.0,1206.1126743,5.2367419,0.52641
86,993073,368,515,258,257,9,Gorilla,52,Rattus,0.1272233201581027,53,20.6,9.0,42,1,Mus,42,Mus,53,1,0.0188679245283018,1,1.25137,332.85,-3408.51,265.9884766,416.5185045,0.32621
87,956700,1762,151,122,29,4,V2,59,Macaca,0.0077907336704158,63,4.081081081081081,2.0,1,1,Mus,34,Mus,63,93,1.4761904761904765,1,0.946866,1363.85,-15842.6,1440.3833277,1291.3831941,0.16053
88,956705,735,297,157,140,22,Pan,38,Mus,0.036734693877551,54,5.303571428571429,3.0,1,1,Mus,19,Mus,54,17,0.3148148148148148,1,0.15814,106.397,-6411.65,672.80258,16.8256216,0.58905
89,956706,493,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,54,17,0.3148148148148148,0,1e-06,1e-06,-6179.46,1.0,0.0,0.05939
90,938060,815,153,80,73,7,Pan,27,Mus,0.0170663692136084,33,1.7790697674418603,1.0,1,1,Mus,9,Mus,33,7,0.2121212121212121,1,0.0812543,62.5485,-7987.17,769.7869528,5.0823346,0.71939
91,938062,568,81,44,37,2,Mus,10,Gorilla,0.0129641485275288,12,3.6818181818181817,3.0,3,1,Gorilla,6,Pan,12,7,0.5833333333333334,1,0.44083,235.145,-4204.21,533.4142413,103.6589704,0.14627
92,938070,393,18,16,2,0,Homo,7,Pan,0.0041637751561415,10,3.0,1.0,1,0,Homo,7,Pan,10,14,1.4,1,2.05308,705.536,-2667.89,343.6475929,1448.5218509,0.06862
93,603875,267,510,255,255,0,Gorilla,51,Mus,0.1736465781409601,51,51.0,51.0,51,0,Gorilla,51,Mus,51,0,0.0,1,3.95145,947.116,-1623.8,239.6882157,3742.4815182,0.02858
94,603937,524,93,64,29,1,Pan,20,Rattus,0.0161346287300485,22,5.8125,2.0,1,1,Pan,13,Mus,22,35,1.5909090909090908,1,0.243521,119.306,-4802.94,489.9207871,29.0535164,0.28318
95,603953,231,120,60,60,0,Gorilla,12,Mus,0.0472255017709563,12,12.0,12.0,12,0,Gorilla,12,Mus,12,0,0.0,1,0.769703,146.165,-2140.18,189.8979217,112.503639,0.29345
96,809245,301,3,2,1,0,Pan,1,Mus,0.0009060706735125,1,1.0,1.0,1,0,Pan,1,Mus,1,1,1.0,1,0.0992212,29.2958,-2816.2,295.2574651,2.9067644,0.17889
97,809247,1204,283,242,41,8,Pan,111,Rattus,0.0213681667170039,116,15.72222222222222,6.5,8,1,Macaca,102,Rattus,116,201,1.7327586206896552,1,1.97141,1503.01,-11566.9,762.4035589,2963.0489441,0.08363
98,809248,536,348,244,104,14,Mus,98,Macaca,0.059023066485753,155,7.404255319148936,4.0,1,1,Mus,73,Macaca,155,140,0.9032258064516128,1,2.75083,1009.4,-4782.2,366.9437951,2776.687802,0.18989
99,319679,317,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,155,140,0.9032258064516128,0,1e-06,1e-06,-4385.16,1.0,0.0,0.19852
100,319690,307,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,155,140,0.9032258064516128,0,1e-06,1e-06,-3469.9,1.0,0.0,0.13156
101,319696,317,14,8,6,0,Mus,2,Pan,0.0040149125322626,2,2.0,2.0,2,0,Mus,2,Pan,2,2,1.0,1,0.0742542,23.0266,-2306.11,310.1050176,1.7098218,0.27732
102,1033649,515,20,10,10,0,Gorilla,2,Mus,0.0035304501323918,2,2.0,2.0,2,0,Gorilla,2,Mus,2,0,0.0,1,2.82138,1304.57,-2066.96,462.3872006,3680.6877066,0.001
103,1033756,347,333,178,155,25,Gorilla,32,root,0.0872412889703956,55,7.239130434782608,2.0,1,1,Mus,25,Mus,55,23,0.4181818181818181,1,0.915735,209.891,-3510.74,229.2049556,192.2045349,0.60627
104,810743,1556,90,45,45,3,Gorilla,12,V2,0.0052582379060528,12,2.0,2.0,2,1,Mus,5,Mus,12,0,0.0,1,0.216399,330.662,-16705.3,1528.0200001,71.5549261,0.07795
105,810747,648,45,27,18,2,Pan,7,Mus,0.0063131313131313,15,1.40625,1.0,1,1,Mus,5,Macaca,15,9,0.6,1,0.624318,379.11,-5105.63,607.2386188,236.685197,0.10763
106,810757,218,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,15,9,0.6,0,1e-06,1e-06,-2543.94,1.0,0.0,0.1051
107,810760,291,106,92,14,0,Homo,39,Pan,0.0331146516713527,46,10.6,6.0,1,0,Homo,39,Pan,46,78,1.6956521739130437,1,0.701967,164.835,-2641.99,234.8187308,115.7087304,0.3554
108,810771,376,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,46,78,1.6956521739130437,0,1e-06,1e-06,-4100.04,1.0,0.0,0.05478
109,990924,1469,1426,914,512,87,Homo,302,Gorilla,0.08824803515069,518,11.408,8.0,1,1,Mus,209,Gorilla,518,402,0.7760617760617761,1,3.18869,1772.75,-15012.0,555.9493083,5652.7501975,0.19276
110,991487,477,186,106,80,14,Gorilla,22,Pan,0.035448827901658,36,8.08695652173913,6.0,14,2,Mus,14,Mus,36,26,0.7222222222222222,1,5.1018,1456.16,-4840.89,285.4208319,7429.037088,0.10599
111,964050,795,2175,1105,1070,35,Gorilla,214,Mus,0.248713550600343,249,26.52439024390244,24.0,25,6,Mus,69,Mus,249,35,0.1405622489959839,1,1.07979,641.297,-7108.85,593.9090008,692.4660876,0.3263
112,964133,1155,148,82,66,8,Pan,21,Mus,0.0116489571035025,37,2.3125,1.0,1,1,Mus,14,Gorilla,37,16,0.4324324324324324,1,0.181915,199.792,-9806.49,1098.2711706,36.3451617,0.28183
113,964134,1149,110,60,50,3,Gorilla,19,Mus,0.0087032201914708,22,2.8947368421052637,2.0,4,1,Mus,5,Mus,22,10,0.4545454545454545,1,0.903227,942.697,-9520.56,1043.6988708,851.4693832,0.10964
114,964148,534,18,14,4,0,Homo,6,Pan,0.0030643513789581,10,1.8,1.0,1,0,Homo,6,Pan,10,10,1.0,1,3.08573,1316.21,-4044.85,426.5473648,4061.4686833,0.02312
115,973074,526,178,108,70,10,Rattus,34,Macaca,0.0307639128931904,36,4.944444444444445,2.0,2,1,Pan,29,Macaca,36,38,1.0555555555555556,1,0.595859,283.386,-4031.68,475.5923801,168.8580986,0.17634
116,973075,753,224,128,96,6,Pan,39,V2,0.0270433417843776,71,5.463414634146342,2.0,1,1,Mus,32,Mus,71,32,0.4507042253521127,1,3.24225,1523.1,-6047.83,469.7663659,4938.270975,0.06064
117,973100,347,131,67,64,5,Rattus,14,Mus,0.0343201467120775,17,3.9696969696969697,2.0,2,1,Rattus,9,Mus,17,3,0.1764705882352941,1,0.0663723,21.131,-3058.31,318.3707661,1.4025131,1.354
118,808110,541,20,10,10,0,Pan,5,Mus,0.0033607797008906,5,1.6666666666666667,1.0,1,0,Pan,3,Mus,5,0,0.0,1,0.123659,64.0015,-4407.82,517.5644312,7.9143615,0.35905
119,808112,206,96,48,48,0,Pan,10,Mus,0.0423654015887025,10,6.0,9.0,9,0,Pan,9,Mus,10,0,0.0,1,0.178143,35.1275,-1505.89,197.1870913,6.2577182,0.23992
120,807234,540,416,236,180,32,Gorilla,60,Pan,0.07003367003367,64,18.90909090909091,28.0,32,4,Mus,32,Mus,64,56,0.875,1,4.51274,1444.03,-5267.09,319.9896294,6516.5319422,0.09927
121,807255,462,1068,544,524,61,Macaca,107,Gorilla,0.2101534828807556,125,26.7,16.0,2,1,Pan,86,Mus,125,20,0.16,1,10.1735,1650.11,-4113.47,162.1968841,16787.394085,0.08704
122,807263,419,87,47,40,7,Pan,8,Mus,0.0188761119548709,15,7.909090909090909,8.0,8,7,Pan,8,Mus,15,7,0.4666666666666667,1,11.0169,1654.3,-4172.57,150.1602084,18225.25767,0.03016
123,1018503,163,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,15,7,0.4666666666666667,0,1e-06,1e-06,-1570.89,1.0,0.0,0.20014
124,1018504,182,55,41,14,0,Pan,17,Mus,0.0274725274725274,31,9.166666666666666,7.0,7,0,Pan,17,Gorilla,31,27,0.8709677419354839,1,0.319819,49.3034,-1603.0,154.1603219,15.7681641,0.58436
125,1018506,163,370,185,185,0,Gorilla,37,Mus,0.2063580591187953,37,37.0,37.0,37,0,Gorilla,37,Mus,37,0,0.0,1,2.17967,311.376,-984.877,142.8546523,678.6969259,0.06542
126,812328,2497,339,293,46,6,Homo,215,Pan,0.0123420832271453,258,5.215384615384616,1.0,1,1,Mus,211,Pan,258,247,0.9573643410852714,1,0.490243,1058.06,-25165.6,2158.2358137,518.7065086,0.30812
