OMA_group,seq_Mus,seq_Rattus,seq_Pan,seq_Homo,seq_Gorilla,seq_Macaca,seq_V2,seq_V5,seq_V7,seq_V9,seq_root,tree_Mus,tree_Rattus,tree_Pan,tree_Homo,tree_Gorilla,tree_Macaca,tree_V2,tree_V5,tree_V7,tree_V9,tree_root
1036577,625,625,622,627,611,608,625,622,622,622,621,0.02389,0.02954,0.01924,0.01604,0.10376,0.01917,0.01421,0.01594,0.01584,0.0142,0
1037973,376,380,377,377,380,403,380,377,380,380,380,0.03477,0.00829,0.00548,0.00548,0.00538,0.00528,0.00517,0.00538,0.00528,0.00518,0
1039413,503,503,503,503,527,503,503,503,503,503,503,0.03224,0.03687,0.02329,0.0233,0.06322,0.02317,0.01515,0.02129,0.02119,0.01514,0
1039501,557,557,547,558,558,559,557,558,558,559,557,0.06334,0.06189,0.20261,0.06176,0.05978,0.05502,0.0467,0.05799,0.05789,0.0467,0
1039732,537,537,540,562,542,540,537,540,540,540,537,0.0361,0.03856,0.03351,0.03175,0.19195,0.02995,0.02794,0.03165,0.02994,0.02798,0
1040630,1135,1134,1079,1135,1137,1124,1135,1135,1135,1135,1135,0.0606,0.11111,0.04109,0.04014,0.03918,0.04671,0.03485,0.03824,0.03729,0.03485,0
311903,2798,2797,2804,2804,2803,2804,2798,2804,2804,2804,2798,0.01517,0.02245,0.01758,0.0166,0.04684,0.01396,0.01196,0.0165,0.0158,0.01199,0
317866,322,322,273,317,317,274,322,317,317,316,316,0.09885,0.07014,0.23854,0.09102,0.08139,0.13072,0.05315,0.08638,0.06767,0.05315,0
320122,289,289,280,292,325,292,289,292,292,292,289,0.01282,0.01641,0.02379,0.02379,0.03484,0.01638,0.00918,0.02369,0.02013,0.00918,0
575096,535,535,535,535,530,537,535,535,535,536,534,0.02629,0.02246,0.02218,0.02402,0.07203,0.02091,0.01267,0.02208,0.01906,0.01267,0
575142,902,907,801,912,913,803,902,912,912,902,902,0.03783,0.15215,0.04548,0.05044,0.05033,0.04034,0.03313,0.04538,0.04528,0.03312,0
579942,395,403,393,393,424,393,395,393,393,393,393,0.20007,0.60367,0.182,0.182,0.18211,0.19054,0.1707,0.1819,0.17946,0.1707,0
580517,347,347,347,347,351,347,347,347,347,347,347,0.08691,0.08531,0.07043,0.06476,0.32544,0.06439,0.05864,0.06466,0.06456,0.0587,0
580687,336,336,338,336,336,336,336,336,336,336,336,0.00495,0.00495,0.02546,0.00441,0.00431,0.00709,0.00485,0.00431,0.00421,0.00411,0
583034,464,464,468,468,455,468,464,468,468,468,464,0.04444,0.04942,0.03287,0.03287,0.19445,0.02857,0.0239,0.03062,0.03052,0.02386,0
583153,299,299,327,329,333,299,299,299,299,299,299,0.0168,0.00682,0.01352,0.13693,0.00692,0.00682,0.00672,0.01017,0.00682,0.00672,0
584881,591,592,592,592,592,591,591,592,592,591,591,0.0195,0.09992,0.01328,0.01826,0.01477,0.01305,0.01137,0.01318,0.01308,0.01137,0
585572,977,977,955,955,940,955,977,955,955,955,954,0.00498,0.0092,0.00724,0.00724,0.09774,0.00596,0.00488,0.00714,0.00704,0.00488,0
585578,943,949,940,939,906,939,942,939,939,939,939,0.01629,0.01628,0.03747,0.01128,0.01331,0.01477,0.00959,0.01118,0.01108,0.00957,0
605352,561,561,566,566,550,485,561,566,565,565,560,0.02962,0.02516,0.01964,0.01964,0.02692,0.05667,0.0187,0.01954,0.0188,0.0187,0
611297,208,208,208,208,153,208,208,208,208,208,208,0.0002,0.0002,0.0004,0.0004,0.04188,0.0002,0.0001,0.0003,0.0002,0.0001,0
619788,350,350,350,350,353,350,350,350,350,350,350,0.05344,0.05687,0.0612,0.0612,0.13018,0.05263,0.03542,0.05259,0.04974,0.03524,0
624867,701,726,741,741,735,741,722,741,762,762,722,0.0289,0.0251,0.0236,0.02493,0.09007,0.02759,0.0234,0.0235,0.0234,0.0233,0
625434,780,780,780,780,768,784,780,780,780,780,780,0.02082,0.02001,0.01222,0.01344,0.11832,0.01275,0.00902,0.01212,0.01202,0.00902,0
626932,358,358,325,356,357,321,358,356,356,356,356,0.02455,0.04163,0.07287,0.02765,0.02403,0.18753,0.01987,0.02755,0.02393,0.01983,0
648115,684,699,699,699,705,699,699,699,699,699,699,0.03549,0.02846,0.02707,0.02707,0.07565,0.02917,0.02002,0.02415,0.02267,0.02,0
653351,545,545,545,545,577,545,545,545,545,545,545,0.01572,0.01005,0.01409,0.01235,0.06661,0.01212,0.0083,0.01225,0.01215,0.00846,0
653565,551,551,536,536,545,536,551,536,545,545,545,0.07334,0.06774,0.06294,0.06415,0.16673,0.05687,0.04347,0.05603,0.05321,0.04349,0
653867,1020,1020,1016,1020,1020,1020,1020,1020,1020,1020,1020,0.00362,0.00362,0.01842,0.00557,0.00636,0.04911,0.00352,0.00547,0.00537,0.00347,0
670150,254,254,254,254,257,255,254,254,254,254,254,0.04846,0.06934,0.05828,0.05828,0.19049,0.06112,0.04515,0.05818,0.05808,0.04515,0
674214,929,929,933,933,1117,929,929,933,918,924,923,0.03097,0.01623,0.05953,0.05854,0.08309,0.01858,0.01282,0.05844,0.04018,0.01282,0
676127,414,414,414,414,414,408,414,414,414,414,414,0.01531,0.0161,0.00747,0.00512,0.00502,0.03774,0.00663,0.00502,0.00492,0.00482,0
689994,186,186,176,186,186,186,186,186,186,186,186,0.02587,0.02575,0.07409,0.03188,0.04314,0.0201,0.01441,0.03178,0.03168,0.01441,0
690235,1151,1148,1141,1151,1132,1151,1151,1151,1151,1151,1151,0.01276,0.01458,0.04437,0.00303,0.00293,0.001,0.01003,0.00293,0.00283,0.0001,0
707164,417,417,417,417,414,417,417,417,417,417,417,0.02469,0.02725,0.02957,0.02479,0.15461,0.01748,0.01738,0.02469,0.02232,0.01738,0
716269,316,316,318,318,318,293,316,318,318,318,316,0.03915,0.04424,0.03352,0.03352,0.03682,0.10025,0.02753,0.03342,0.03332,0.02753,0
716358,310,310,310,310,283,283,310,310,310,310,310,0.07425,0.0651,0.12603,0.10619,0.11313,0.19651,0.04941,0.10231,0.09146,0.04941,0
730961,490,490,490,490,488,490,490,490,490,490,490,0.02964,0.02754,0.03255,0.02854,0.06638,0.02617,0.0193,0.02844,0.02834,0.0193,0
731090,623,623,603,622,567,622,623,622,622,622,616,0.04189,0.04168,0.14266,0.03767,0.03757,0.03273,0.0295,0.03757,0.03747,0.0295,0
731322,520,520,517,520,520,520,520,520,520,520,520,0.01333,0.01608,0.04151,0.01586,0.01576,0.01566,0.01177,0.01576,0.01566,0.01177,0
736928,418,418,411,417,416,417,418,417,417,417,417,0.01644,0.01648,0.01602,0.01602,0.06436,0.0134,0.0115,0.01592,0.01582,0.01092,0
739165,489,490,489,489,470,472,489,489,489,489,489,0.01263,0.01088,0.01324,0.01324,0.10092,0.01925,0.00962,0.01314,0.01304,0.00961,0
739664,706,668,634,709,769,440,708,709,709,709,708,0.00706,0.00709,0.00721,0.00497,0.03611,0.01172,0.00472,0.00487,0.00477,0.00467,0
743841,591,582,599,599,590,599,591,599,599,599,590,0.01145,0.07677,0.01645,0.01483,0.01311,0.01475,0.01135,0.01473,0.01301,0.01129,0
747124,704,704,704,704,706,600,704,704,704,704,704,0.04415,0.04656,0.03913,0.04416,0.16676,0.03461,0.03263,0.03746,0.03736,0.03263,0
751685,768,785,768,768,803,768,768,768,768,768,768,0.02997,0.08803,0.02039,0.0216,0.03338,0.02339,0.01785,0.02029,0.02019,0.01785,0
752182,368,368,368,368,349,369,368,368,368,368,368,0.02915,0.02669,0.02235,0.02235,0.24487,0.01935,0.01911,0.02225,0.02215,0.01925,0
759160,786,786,768,787,782,763,786,787,787,787,786,0.01034,0.00619,0.06299,0.00768,0.0229,0.05214,0.00482,0.00629,0.00619,0.00483,0
760754,296,296,266,291,291,303,296,291,291,291,291,0.0081,0.0081,0.0037,0.0037,0.0073,0.02266,0.008,0.0036,0.0035,0.0034,0
763741,792,792,792,792,789,792,792,792,792,792,792,0.0135,0.01348,0.01118,0.01235,0.05306,0.01344,0.00966,0.01108,0.01098,0.00966,0
764292,325,325,397,325,325,325,325,325,325,325,325,0.03836,0.04464,0.14576,0.04455,0.04529,0.04241,0.03826,0.04445,0.04278,0.03826,0
770334,1712,1730,1664,1676,1739,1592,1731,1676,1702,1720,1731,0.01969,0.16136,0.06133,0.01932,0.01921,0.01652,0.01358,0.01793,0.01783,0.01436,0
781307,1280,1279,1238,1279,1252,1238,1280,1277,1277,1277,1277,0.04468,0.12246,0.04522,0.04604,0.04886,0.03924,0.03393,0.04357,0.04207,0.03392,0
795713,720,732,720,720,719,720,720,720,720,720,720,0.00768,0.01191,0.00508,0.00508,0.03941,0.00359,0.00351,0.00498,0.00488,0.00349,0
799104,876,943,860,951,809,860,851,860,860,860,851,0.06555,0.05523,0.05065,0.0519,0.1462,0.04738,0.04331,0.04939,0.04929,0.04331,0
807142,455,455,468,455,468,455,455,455,455,455,455,0.02484,0.01819,0.08392,0.02332,0.02537,0.0202,0.01585,0.02322,0.02312,0.01585,0
807167,356,356,305,356,358,356,356,356,356,356,356,0.02246,0.02421,0.05028,0.01347,0.01337,0.01646,0.01317,0.01337,0.01327,0.01317,0
807193,1848,1855,1849,1849,1768,1849,1848,1849,1849,1849,1848,0.02286,0.02024,0.01698,0.01698,0.05977,0.01617,0.01401,0.01688,0.01678,0.01419,0
807267,350,283,350,350,348,350,350,350,350,350,350,0.00588,0.00206,0.00226,0.00226,0.09004,0.00206,0.00196,0.00216,0.00206,0.00196,0
807433,963,963,961,963,963,937,963,963,963,963,963,0.0157,0.01255,0.02422,0.01666,0.01462,0.04449,0.01036,0.01559,0.01452,0.01036,0
807543,591,591,583,586,646,586,591,586,586,586,582,0.04071,0.0382,0.12992,0.04338,0.06047,0.07792,0.03331,0.04328,0.04131,0.03331,0
807575,621,621,621,621,621,621,621,621,621,621,621,0.03433,0.04022,0.03022,0.0302,0.12695,0.03444,0.02492,0.02858,0.02848,0.02492,0
807700,1107,998,1108,1108,1108,1107,1107,1108,1108,1108,1107,0.01905,0.08035,0.01793,0.01994,0.01603,0.02095,0.01163,0.01693,0.01593,0.0119,0
807822,432,432,409,432,432,432,432,432,432,432,432,0.03676,0.03568,0.17662,0.0359,0.04311,0.03757,0.02748,0.0358,0.0357,0.02748,0
808044,380,380,379,379,327,297,380,379,379,379,379,0.00687,0.00359,0.00356,0.00356,0.00673,0.04162,0.00349,0.00346,0.00336,0.00326,0
808174,287,293,259,287,287,287,287,287,287,287,287,0.00803,0.18268,0.15092,0.00408,0.00398,0.00767,0.00378,0.00398,0.00388,0.00378,0
808175,1533,1525,1399,1529,1395,1439,1533,1479,1481,1526,1526,0.01918,0.01741,0.01866,0.01513,0.0959,0.01208,0.0106,0.01445,0.01278,0.01062,0
808194,1560,1567,1581,1581,1564,1567,1568,1581,1581,1567,1567,0.03107,0.0329,0.0226,0.02205,0.07013,0.02296,0.01954,0.02195,0.02135,0.01954,0
808257,834,834,740,834,824,834,834,834,834,834,834,0.02741,0.03319,0.08879,0.02735,0.02861,0.0282,0.02259,0.02725,0.02641,0.02259,0
808512,469,470,474,474,532,474,469,474,474,474,467,0.01935,0.01696,0.01724,0.01724,0.04905,0.01474,0.01454,0.01714,0.01704,0.01464,0
808538,564,608,664,567,562,567,564,567,567,567,564,0.02353,0.11562,0.02457,0.02287,0.02806,0.01991,0.01403,0.02277,0.02267,0.01403,0
808649,420,322,420,420,420,420,420,420,420,420,420,0.01223,0.13621,0.00996,0.00996,0.00986,0.00976,0.00965,0.00986,0.00976,0.00966,0
808743,541,541,533,541,541,541,541,541,541,541,541,0.01793,0.01241,0.05869,0.01806,0.01608,0.01242,0.01231,0.01796,0.0142,0.01232,0
808822,502,502,502,502,532,477,502,502,502,502,502,0.00947,0.01162,0.00958,0.01168,0.00747,0.04024,0.00528,0.00747,0.00537,0.00527,0
808885,762,762,762,762,765,762,762,762,762,762,762,0.01749,0.02231,0.01661,0.01661,0.0803,0.01547,0.01385,0.01651,0.01641,0.01396,0
808950,1467,1466,1467,1467,1469,1467,1466,1467,1467,1467,1466,0.02499,0.05659,0.0168,0.0168,0.01669,0.02064,0.01415,0.01611,0.01601,0.01417,0
809216,589,633,592,592,597,590,589,592,592,590,590,0.33132,0.50136,0.10749,0.10406,0.15171,0.06705,0.06293,0.09981,0.0879,0.05806,0
809345,469,469,518,470,469,470,469,470,470,470,469,0.01286,0.00654,0.03705,0.01082,0.00868,0.00858,0.00644,0.01072,0.00858,0.00644,0
809357,204,204,204,204,217,204,204,204,204,204,204,0.06566,0.05609,0.05556,0.05049,0.10444,0.0554,0.0399,0.05039,0.05029,0.03989,0
809603,322,327,330,330,330,330,322,330,330,330,322,0.07989,0.2134,0.05118,0.05417,0.05718,0.04827,0.04648,0.05108,0.05098,0.04648,0
809679,543,535,524,543,543,540,543,543,543,543,543,0.01158,0.00198,0.04009,0.00616,0.00606,0.02157,0.00188,0.00606,0.00596,0.00586,0
810070,478,478,401,478,478,478,478,478,478,478,478,0.01291,0.02045,0.09102,0.01808,0.01798,0.01289,0.01281,0.01798,0.01788,0.01279,0
810142,680,680,684,684,600,658,680,684,684,680,680,0.04936,0.04251,0.0503,0.04548,0.1391,0.05238,0.03093,0.04449,0.04376,0.03093,0
810296,1947,1951,1951,2000,1957,2000,1951,1951,1951,1951,1951,0.01457,0.01712,0.01347,0.01294,0.0733,0.01544,0.01004,0.01243,0.01182,0.01006,0
811159,2433,2434,2364,2436,2424,2414,2434,2437,2437,2437,2433,0.04187,0.04491,0.1172,0.03536,0.03441,0.03554,0.02796,0.03405,0.03315,0.02796,0
811505,520,521,520,520,491,520,520,520,520,520,520,0.01645,0.02699,0.01675,0.02073,0.0764,0.01461,0.0145,0.01665,0.01655,0.01451,0
811794,1455,1269,1045,1460,1080,1068,1431,1460,1460,1460,1431,0.00585,0.00691,0.00605,0.00403,0.00489,0.00801,0.00372,0.00393,0.00383,0.00373,0
811998,1001,991,879,1001,1001,1001,1001,1001,1001,1001,1001,0.00166,0.01674,0.0044,0.0044,0.0043,0.0042,0.00156,0.0043,0.0042,0.00305,0
812035,950,950,958,958,990,958,950,958,958,958,950,0.05403,0.05904,0.05207,0.05208,0.14129,0.05176,0.0412,0.0489,0.04805,0.04119,0
812165,509,520,539,539,539,342,509,539,539,509,509,0.02051,0.01747,0.01457,0.01457,0.01447,0.01437,0.01428,0.01447,0.01437,0.01427,0
812371,453,453,453,453,453,453,453,453,453,453,453,0.09199,0.08603,0.08091,0.08557,0.23788,0.06941,0.06131,0.07636,0.07308,0.0613,0
812489,876,914,944,981,981,922,977,981,981,981,977,0.07173,0.06388,0.05081,0.05461,0.05197,0.04761,0.04142,0.04954,0.04944,0.04142,0
813031,781,698,698,789,891,647,897,898,898,898,897,0.0199,0.12924,0.04028,0.03473,0.0346,0.01869,0.01614,0.03463,0.03085,0.01613,0
813209,1310,1306,1320,1321,1321,1319,1308,1321,1321,1319,1308,0.03545,0.08915,0.03401,0.03478,0.03266,0.03149,0.02693,0.0317,0.03102,0.02692,0
813314,547,600,601,601,598,541,586,601,609,609,583,0.0515,0.11985,0.03568,0.03383,0.03373,0.03568,0.02974,0.03373,0.03363,0.02974,0
813686,647,647,647,647,649,613,647,647,647,647,647,0.0287,0.02611,0.02434,0.02434,0.09144,0.04399,0.01907,0.02424,0.02414,0.01907,0
814446,578,612,568,595,595,564,608,595,595,595,590,0.06369,0.18231,0.06389,0.06585,0.06005,0.0705,0.0507,0.06005,0.05812,0.0507,0
814485,298,298,294,294,316,283,298,294,294,294,294,0.04764,0.04851,0.04652,0.05765,0.10012,0.04226,0.03493,0.04642,0.04632,0.03493,0
814905,507,473,476,470,470,416,473,476,476,476,473,0.02343,0.01361,0.01379,0.01379,0.01369,0.10659,0.01118,0.01369,0.01359,0.01119,0
814935,561,526,577,584,490,566,553,578,570,574,549,0.06666,0.10119,0.04318,0.04523,0.04235,0.03408,0.02739,0.04308,0.04057,0.02739,0
816167,1912,1937,1792,1912,1913,1824,1912,1912,1912,1912,1912,0.00832,0.01045,0.01721,0.00902,0.00901,0.0318,0.00735,0.00844,0.00785,0.00735,0
816247,787,787,701,788,788,746,787,788,788,788,787,0.05743,0.05517,0.19935,0.04349,0.04196,0.05025,0.03754,0.04339,0.04186,0.03754,0
816841,2639,2639,2703,2647,2647,2611,2639,2647,2647,2639,2639,0.01493,0.01329,0.03754,0.01142,0.01294,0.02489,0.01018,0.01132,0.01077,0.00862,0
817418,433,447,432,432,440,432,433,432,432,432,432,0.04008,0.11078,0.00497,0.0072,0.01662,0.00292,0.0376,0.00487,0.00254,0.0004,0
818064,417,417,419,424,399,372,417,424,424,417,417,0.01484,0.01484,0.08138,0.02068,0.02645,0.01766,0.01474,0.02058,0.01766,0.01474,0
818622,373,375,378,380,381,333,375,380,380,380,374,0.04302,0.0529,0.04576,0.04284,0.03981,0.19309,0.03266,0.04274,0.03971,0.03266,0
818954,595,613,597,597,626,597,597,597,597,597,597,0.03231,0.0277,0.03134,0.03134,0.07354,0.02536,0.02141,0.03124,0.0289,0.0214,0
820122,1730,1741,1732,1724,1643,1562,1730,1722,1714,1714,1711,0.02092,0.04889,0.02723,0.02588,0.0248,0.1081,0.01839,0.02195,0.02108,0.0184,0
891931,790,791,790,790,790,790,790,790,790,790,790,0.01719,0.03305,0.01112,0.01229,0.011,0.01216,0.00964,0.01102,0.00973,0.00963,0
931267,236,253,256,256,256,256,236,256,256,256,236,0.01957,0.08152,0.01944,0.01529,0.01519,0.01924,0.01498,0.01519,0.01509,0.01499,0
931767,5061,5012,5037,5038,4905,4309,5031,5038,5037,5028,5031,0.01758,0.10453,0.01933,0.01981,0.04433,0.02101,0.01363,0.01836,0.01788,0.01517,0
931901,968,968,968,968,967,968,968,968,968,968,968,0.03399,0.03824,0.01244,0.01046,0.0839,0.00821,0.02354,0.01036,0.00939,0.00407,0
932189,487,486,487,487,488,487,487,487,487,487,487,0.03067,0.08903,0.02103,0.02103,0.01898,0.0189,0.01684,0.02093,0.01888,0.01684,0
938054,696,696,696,696,696,696,696,696,696,696,696,0.01325,0.01047,0.00426,0.00426,0.02175,0.00272,0.01037,0.00416,0.00272,0.00262,0
938893,635,635,635,635,626,547,635,635,635,635,635,0.00355,0.00356,0.00231,0.00231,0.06157,0.00211,0.00171,0.00221,0.00211,0.00201,0
941490,1171,1152,1170,1170,1170,1170,1170,1170,1170,1170,1170,0.02947,0.05872,0.02041,0.01953,0.01788,0.02134,0.01695,0.01866,0.01778,0.01694,0
942442,919,918,818,917,917,917,918,917,917,917,917,0.03102,0.02603,0.05581,0.01798,0.019,0.02026,0.01414,0.01788,0.01778,0.01412,0
947117,168,167,142,167,168,167,167,168,168,167,167,0.02738,0.01536,0.09038,0.01455,0.01445,0.01435,0.01425,0.01445,0.01435,0.01425,0
949173,163,159,163,163,163,163,163,163,163,163,163,0.01282,0.07248,0.03812,0.03812,0.03171,0.01994,0.01272,0.03802,0.03161,0.01275,0
952688,209,209,212,212,212,180,209,212,212,209,209,0.0002,0.0002,0.0004,0.0004,0.0003,0.0002,0.0001,0.0003,0.0002,0.0001,0
952895,618,589,645,645,564,573,618,645,618,627,627,0.01128,0.04509,0.01032,0.01032,0.01022,0.00667,0.00777,0.01022,0.01012,0.00657,0
954050,731,744,730,730,729,730,731,730,730,730,729,0.04485,0.04972,0.04577,0.04171,0.17074,0.04573,0.03742,0.04161,0.0388,0.03742,0
954346,508,505,468,468,436,391,508,468,468,469,463,0.03091,0.03743,0.02413,0.02413,0.09234,0.03247,0.02121,0.02403,0.02393,0.02119,0
958004,1954,1946,1949,1949,1934,1949,1954,1949,1949,1949,1946,0.06016,0.06534,0.05488,0.05953,0.17987,0.05319,0.04554,0.05378,0.05012,0.04555,0
960461,411,411,409,409,413,409,411,409,409,409,409,0.03628,0.03853,0.03572,0.03338,0.14123,0.02949,0.02274,0.03328,0.02839,0.02274,0
970584,646,644,647,647,647,647,646,647,647,647,646,0.02454,0.09299,0.02149,0.02305,0.01994,0.01984,0.01974,0.01994,0.01984,0.01974,0
971519,1223,1106,1321,1217,1210,1326,1224,1323,1323,1323,1219,0.04963,0.13531,0.04506,0.04409,0.04423,0.04357,0.03637,0.04318,0.04137,0.03637,0
973945,770,770,727,770,770,770,770,770,770,770,770,0.01828,0.02345,0.06173,0.0173,0.0172,0.01588,0.01034,0.01455,0.01445,0.01034,0
975532,1064,1070,1084,1070,1065,1070,1070,1070,1070,1070,1070,0.02518,0.02211,0.01872,0.01787,0.07236,0.01678,0.01584,0.01777,0.01714,0.01584,0
975924,1278,1274,1274,1274,1159,1274,1276,1274,1274,1274,1270,0.05059,0.05727,0.04861,0.05142,0.13393,0.05355,0.03723,0.04783,0.04625,0.03723,0
975945,197,197,197,197,198,197,197,197,197,197,197,0.04182,0.03612,0.06563,0.06055,0.11549,0.03851,0.03133,0.05541,0.05084,0.03133,0
976952,302,302,301,315,314,294,302,314,314,302,302,0.08704,0.09893,0.22533,0.16643,0.15255,0.25402,0.0529,0.16169,0.14804,0.0529,0
977025,595,526,644,644,644,578,594,644,644,602,592,0.00769,0.00767,0.00787,0.00787,0.00596,0.00586,0.00577,0.00596,0.00586,0.00576,0
984832,767,748,765,765,766,767,767,765,765,767,767,0.01356,0.01492,0.01519,0.01519,0.04388,0.01079,0.00953,0.01509,0.01499,0.00953,0
985009,283,283,283,283,285,283,283,283,283,283,283,0.00543,0.00543,0.00908,0.00908,0.15722,0.00888,0.00533,0.00898,0.00888,0.00533,0
985210,413,411,415,415,417,415,413,415,417,417,413,0.0502,0.20519,0.06158,0.06141,0.05837,0.05881,0.0343,0.05657,0.05374,0.03432,0
985669,712,731,730,730,707,730,731,730,730,730,730,0.03424,0.02948,0.02997,0.02855,0.11431,0.03231,0.02398,0.02713,0.02703,0.02398,0
986681,267,268,267,267,267,267,267,267,267,267,267,0.08012,0.20049,0.06654,0.05913,0.05903,0.05529,0.05519,0.05903,0.05893,0.05519,0
987903,837,837,843,702,848,839,837,843,843,839,837,0.06123,0.0468,0.04636,0.17954,0.04208,0.04243,0.03708,0.0434,0.04198,0.03708,0
988292,726,726,723,723,706,749,726,723,723,723,717,0.03958,0.03965,0.04127,0.04271,0.28431,0.03657,0.03023,0.03841,0.03672,0.03023,0
989775,814,580,730,883,823,730,810,806,806,806,806,0.03257,0.09844,0.0268,0.0268,0.02671,0.02674,0.02136,0.02502,0.02492,0.02136,0
990193,783,714,781,781,689,756,778,781,776,813,776,0.01098,0.01099,0.01689,0.01554,0.01679,0.00962,0.00953,0.01544,0.01534,0.00952,0
995060,871,842,840,859,859,849,842,859,859,859,842,0.00829,0.01194,0.18565,0.00851,0.00841,0.05963,0.00819,0.00841,0.00831,0.00821,0
995492,602,579,602,602,602,602,602,602,602,602,602,0.02491,0.06197,0.02678,0.02678,0.03196,0.02484,0.01784,0.02502,0.02492,0.01784,0
996427,123,145,145,145,180,145,145,145,145,145,145,0.32258,0.08892,0.10056,0.10918,0.09206,0.08353,0.07501,0.09206,0.09196,0.07501,0
997282,1274,977,1274,1274,1253,1260,1274,1274,1274,1274,1274,0.02819,0.07829,0.02306,0.02306,0.0239,0.03841,0.01907,0.02296,0.02286,0.01907,0
999626,1391,1390,1391,1391,1422,1449,1390,1391,1423,1423,1390,0.02743,0.02918,0.02537,0.02609,0.11818,0.02317,0.02059,0.0232,0.0231,0.0206,0
1000074,278,278,280,280,280,280,278,280,280,280,278,0.15635,0.10908,0.15635,0.14557,0.14549,0.15496,0.09025,0.14547,0.14187,0.14109,0
1000075,335,336,337,349,349,349,336,349,349,349,336,0.11295,0.07339,0.11306,0.10079,0.10069,0.09136,0.05683,0.10069,0.10059,0.08089,0
1000125,842,813,797,812,812,787,806,812,812,813,806,0.41532,0.40118,0.40325,0.40101,0.40595,0.41531,0.23585,0.39707,0.39445,0.35199,0
1000176,175,176,178,178,178,178,175,178,178,178,175,0.23285,0.23141,0.21582,0.21031,0.23285,0.21105,0.1669,0.21021,0.21011,0.18998,0
1000186,665,665,663,663,667,663,665,663,663,663,663,0.03129,0.03563,0.03126,0.03126,0.03563,0.02635,0.02429,0.03116,0.03106,0.02336,0
1000187,677,677,677,677,682,677,677,677,677,677,677,0.07025,0.06124,0.06876,0.07025,0.06726,0.06718,0.04827,0.06728,0.06579,0.05973,0
1000206,756,761,780,780,612,780,761,780,780,780,780,0.14583,0.14414,0.10142,0.09681,0.14583,0.08569,0.10657,0.09397,0.09387,0.07257,0
1000248,747,657,748,748,662,749,747,748,748,749,747,0.02427,0.06399,0.05716,0.0585,0.06229,0.06398,0.01183,0.0531,0.053,0.04665,0
1000249,385,385,410,410,410,410,385,410,410,410,385,0.19751,0.20723,0.18997,0.19513,0.20723,0.20511,0.15057,0.18747,0.18189,0.15558,0
