,OMA_group,Mus,Rattus,Pan,Homo,Gorilla,Macaca,V2,V5,V7,V9,root
47,674214,0.01815,0.00341,0.00109,0.0001,0.04291,0.00576,0.01282,0.01826,0.02736,0.01282,0.0
48,676127,0.00868,0.00947,0.00245,0.0001,0.0001,0.03292,0.00663,0.0001,0.0001,0.00482,0.0
49,689994,0.01146,0.01134,0.04231,0.0001,0.01146,0.00569,0.01441,0.0001,0.01727,0.01441,0.0
50,690235,0.00273,0.00455,0.04144,0.0001,0.0001,0.0009,0.01003,0.0001,0.00273,0.0001,0.0
51,707164,0.00731,0.00987,0.00488,0.0001,0.13229,0.0001,0.01738,0.00237,0.00494,0.01738,0.0
52,716269,0.01162,0.01671,0.0001,0.0001,0.0035,0.07272,0.02753,0.0001,0.00579,0.02753,0.0
53,716358,0.02484,0.01569,0.02372,0.00388,0.02167,0.1471,0.04941,0.01085,0.04205,0.04941,0.0
54,730961,0.01034,0.00824,0.00411,0.0001,0.03804,0.00687,0.0193,0.0001,0.00904,0.0193,0.0
55,731090,0.01239,0.01218,0.10509,0.0001,0.0001,0.00323,0.0295,0.0001,0.00797,0.0295,0.0
56,731322,0.00156,0.00431,0.02575,0.0001,0.0001,0.00389,0.01177,0.0001,0.00389,0.01177,0.0
57,736928,0.00494,0.00498,0.0001,0.0001,0.04854,0.00248,0.0115,0.0001,0.0049,0.01092,0.0
58,739165,0.00301,0.00126,0.0001,0.0001,0.08788,0.00964,0.00962,0.0001,0.00343,0.00961,0.0
59,739664,0.00234,0.00237,0.00234,0.0001,0.03134,0.00705,0.00472,0.0001,0.0001,0.00467,0.0
60,743841,0.0001,0.06542,0.00172,0.0001,0.0001,0.00346,0.01135,0.00172,0.00172,0.01129,0.0
61,747124,0.01152,0.01393,0.00167,0.0067,0.1294,0.00198,0.03263,0.0001,0.00473,0.03263,0.0
62,751685,0.01212,0.07018,0.0001,0.00131,0.01319,0.00554,0.01785,0.0001,0.00234,0.01785,0.0
63,752182,0.01004,0.00758,0.0001,0.0001,0.22272,0.0001,0.01911,0.0001,0.0029,0.01925,0.0
64,759160,0.00552,0.00137,0.0567,0.00139,0.01671,0.04731,0.00482,0.0001,0.00136,0.00483,0.0
65,760754,0.0001,0.0001,0.0001,0.0001,0.0038,0.01926,0.008,0.0001,0.0001,0.0034,0.0
66,763741,0.00384,0.00382,0.0001,0.00127,0.04208,0.00378,0.00966,0.0001,0.00132,0.00966,0.0
67,764292,0.0001,0.00638,0.10131,0.0001,0.00251,0.00415,0.03826,0.00167,0.00452,0.03826,0.0
68,770334,0.00611,0.14778,0.0434,0.00139,0.00138,0.00216,0.01358,0.0001,0.00347,0.01436,0.0
69,781307,0.01075,0.08853,0.00165,0.00247,0.00679,0.00532,0.03393,0.0015,0.00815,0.03392,0.0
70,795713,0.00417,0.0084,0.0001,0.0001,0.03453,0.0001,0.00351,0.0001,0.00139,0.00349,0.0
71,799104,0.02224,0.01192,0.00126,0.00251,0.09691,0.00407,0.04331,0.0001,0.00598,0.04331,0.0
72,807142,0.00899,0.00234,0.0607,0.0001,0.00225,0.00435,0.01585,0.0001,0.00727,0.01585,0.0
73,807167,0.00929,0.01104,0.03691,0.0001,0.0001,0.00329,0.01317,0.0001,0.0001,0.01317,0.0
74,807193,0.00885,0.00623,0.0001,0.0001,0.04299,0.00198,0.01401,0.0001,0.00259,0.01419,0.0
75,807267,0.00392,0.0001,0.0001,0.0001,0.08798,0.0001,0.00196,0.0001,0.0001,0.00196,0.0
76,807433,0.00534,0.00219,0.00863,0.00107,0.0001,0.03413,0.01036,0.00107,0.00416,0.01036,0.0
77,807543,0.0074,0.00489,0.08664,0.0001,0.01916,0.04461,0.03331,0.00197,0.008,0.03331,0.0
78,807575,0.00941,0.0153,0.00164,0.00162,0.09847,0.00952,0.02492,0.0001,0.00356,0.02492,0.0
79,807700,0.00742,0.06872,0.001,0.00301,0.0001,0.00905,0.01163,0.001,0.00403,0.0119,0.0
80,807822,0.00928,0.0082,0.14082,0.0001,0.00741,0.01009,0.02748,0.0001,0.00822,0.02748,0.0
81,808044,0.00338,0.0001,0.0001,0.0001,0.00337,0.03836,0.00349,0.0001,0.0001,0.00326,0.0
82,808174,0.00425,0.1789,0.14694,0.0001,0.0001,0.00389,0.00378,0.0001,0.0001,0.00378,0.0
83,808175,0.00858,0.00681,0.00421,0.00068,0.08312,0.00146,0.0106,0.00167,0.00216,0.01062,0.0
84,808194,0.01153,0.01336,0.00065,0.0001,0.04878,0.00342,0.01954,0.0006,0.00181,0.01954,0.0
85,808257,0.00482,0.0106,0.06154,0.0001,0.0022,0.00561,0.02259,0.00084,0.00382,0.02259,0.0
86,808512,0.00481,0.00242,0.0001,0.0001,0.03201,0.0001,0.01454,0.0001,0.0024,0.01464,0.0
87,808538,0.0095,0.10159,0.0018,0.0001,0.00539,0.00588,0.01403,0.0001,0.00864,0.01403,0.0
88,808649,0.00258,0.12656,0.0001,0.0001,0.0001,0.0001,0.00965,0.0001,0.0001,0.00966,0.0
89,808743,0.00562,0.0001,0.04073,0.0001,0.00188,0.0001,0.01231,0.00376,0.00188,0.01232,0.0
90,808822,0.00419,0.00634,0.00211,0.00421,0.0021,0.03497,0.00528,0.0021,0.0001,0.00527,0.0
91,808885,0.00364,0.00846,0.0001,0.0001,0.06389,0.00151,0.01385,0.0001,0.00245,0.01396,0.0
92,808950,0.01084,0.04244,0.00069,0.00069,0.00068,0.00647,0.01415,0.0001,0.00184,0.01417,0.0
93,809216,0.26839,0.43843,0.00768,0.00425,0.06381,0.00899,0.06293,0.01191,0.02984,0.05806,0.0
94,809345,0.00642,0.0001,0.02633,0.0001,0.0001,0.00214,0.00644,0.00214,0.00214,0.00644,0.0
95,809357,0.02576,0.01619,0.00517,0.0001,0.05415,0.01551,0.0399,0.0001,0.0104,0.03989,0.0
96,809603,0.03341,0.16692,0.0001,0.00309,0.0062,0.00179,0.04648,0.0001,0.0045,0.04648,0.0
97,809679,0.0097,0.0001,0.03403,0.0001,0.0001,0.01571,0.00188,0.0001,0.0001,0.00586,0.0
98,810070,0.0001,0.00764,0.07304,0.0001,0.0001,0.0001,0.01281,0.0001,0.00509,0.01279,0.0
99,810142,0.01843,0.01158,0.00581,0.00099,0.09534,0.02145,0.03093,0.00073,0.01283,0.03093,0.0
100,810296,0.00453,0.00708,0.00104,0.00051,0.06148,0.00538,0.01004,0.00061,0.00176,0.01006,0.0
101,811159,0.01391,0.01695,0.08315,0.00131,0.00126,0.00758,0.02796,0.0009,0.00519,0.02796,0.0
102,811505,0.00195,0.01249,0.0001,0.00408,0.05985,0.0001,0.0145,0.0001,0.00204,0.01451,0.0
103,811794,0.00213,0.00319,0.00212,0.0001,0.00106,0.00428,0.00372,0.0001,0.0001,0.00373,0.0
104,811998,0.0001,0.01518,0.0001,0.0001,0.0001,0.00115,0.00156,0.0001,0.00115,0.00305,0.0
105,812035,0.01283,0.01784,0.00317,0.00318,0.09324,0.01057,0.0412,0.00085,0.00686,0.04119,0.0
106,812165,0.00623,0.00319,0.0001,0.0001,0.0001,0.0001,0.01428,0.0001,0.0001,0.01427,0.0
107,812371,0.03068,0.02472,0.00455,0.00921,0.1648,0.00811,0.06131,0.00328,0.01178,0.0613,0.0
108,812489,0.03031,0.02246,0.00127,0.00507,0.00253,0.00619,0.04142,0.0001,0.00802,0.04142,0.0
109,813031,0.00376,0.1131,0.00565,0.0001,0.00375,0.00256,0.01614,0.00378,0.01472,0.01613,0.0
110,813209,0.00852,0.06222,0.00231,0.00308,0.00164,0.00457,0.02693,0.00068,0.0041,0.02692,0.0
111,813314,0.02176,0.09011,0.00195,0.0001,0.0001,0.00594,0.02974,0.0001,0.00389,0.02974,0.0
112,813686,0.00963,0.00704,0.0001,0.0001,0.0673,0.02492,0.01907,0.0001,0.00507,0.01907,0.0
113,814446,0.01299,0.13161,0.00384,0.0058,0.00193,0.0198,0.0507,0.00193,0.00742,0.0507,0.0
114,814485,0.01271,0.01358,0.0001,0.01123,0.0538,0.00733,0.03493,0.0001,0.01139,0.03493,0.0
115,814905,0.01225,0.00243,0.0001,0.0001,0.0001,0.0954,0.01118,0.0001,0.0024,0.01119,0.0
116,814935,0.03927,0.0738,0.0001,0.00215,0.00178,0.00669,0.02739,0.00251,0.01318,0.02739,0.0
117,816167,0.00097,0.0031,0.00877,0.00058,0.00116,0.02445,0.00735,0.00059,0.0005,0.00735,0.0
118,816247,0.01989,0.01763,0.15596,0.0001,0.0001,0.01271,0.03754,0.00153,0.00432,0.03754,0.0
119,816841,0.00475,0.00311,0.02622,0.0001,0.00217,0.01627,0.01018,0.00055,0.00215,0.00862,0.0
120,817418,0.00248,0.07318,0.0001,0.00233,0.01408,0.00252,0.0376,0.00233,0.00214,0.0004,0.0
121,818064,0.0001,0.0001,0.0608,0.0001,0.00879,0.00292,0.01474,0.00292,0.00292,0.01474,0.0
122,818622,0.01036,0.02024,0.00302,0.0001,0.0001,0.16043,0.03266,0.00303,0.00705,0.03266,0.0
123,818954,0.0109,0.00629,0.0001,0.0001,0.04464,0.00396,0.02141,0.00234,0.0075,0.0214,0.0
124,820122,0.00253,0.0305,0.00528,0.00393,0.00372,0.0897,0.01839,0.00087,0.00268,0.0184,0.0
125,891931,0.00755,0.02341,0.0001,0.00127,0.00127,0.00253,0.00964,0.00129,0.0001,0.00963,0.0
126,931267,0.00459,0.06654,0.00425,0.0001,0.0001,0.00425,0.01498,0.0001,0.0001,0.01499,0.0
127,931767,0.00395,0.0909,0.00097,0.00145,0.02645,0.00584,0.01363,0.00048,0.00271,0.01517,0.0
128,931901,0.01045,0.0147,0.00208,0.0001,0.07451,0.00414,0.02354,0.00097,0.00532,0.00407,0.0
129,932189,0.01383,0.07219,0.0001,0.0001,0.0001,0.00206,0.01684,0.00205,0.00204,0.01684,0.0
130,938054,0.00288,0.0001,0.0001,0.0001,0.01903,0.0001,0.01037,0.00144,0.0001,0.00262,0.0
131,938893,0.00184,0.00185,0.0001,0.0001,0.05946,0.0001,0.00171,0.0001,0.0001,0.00201,0.0
132,941490,0.01252,0.04177,0.00175,0.00087,0.0001,0.0044,0.01695,0.00088,0.00084,0.01694,0.0
133,942442,0.01688,0.01189,0.03793,0.0001,0.00122,0.00614,0.01414,0.0001,0.00366,0.01412,0.0
134,947117,0.01313,0.00111,0.07593,0.0001,0.0001,0.0001,0.01425,0.0001,0.0001,0.01425,0.0
135,949173,0.0001,0.05976,0.0001,0.0001,0.0001,0.00719,0.01272,0.00641,0.01886,0.01275,0.0
136,952688,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0
137,952895,0.00351,0.03732,0.0001,0.0001,0.0001,0.0001,0.00777,0.0001,0.00355,0.00657,0.0
138,954050,0.00743,0.0123,0.00416,0.0001,0.13194,0.00831,0.03742,0.00281,0.00138,0.03742,0.0
139,954346,0.0097,0.01622,0.0001,0.0001,0.06841,0.01128,0.02121,0.0001,0.00274,0.02119,0.0
140,958004,0.01462,0.0198,0.0011,0.00575,0.12975,0.00764,0.04554,0.00366,0.00457,0.04555,0.0
141,960461,0.01354,0.01579,0.00244,0.0001,0.11284,0.00675,0.02274,0.00489,0.00565,0.02274,0.0
142,970584,0.0048,0.07325,0.00155,0.00311,0.0001,0.0001,0.01974,0.0001,0.0001,0.01974,0.0
143,971519,0.01326,0.09894,0.00188,0.00091,0.00286,0.0072,0.03637,0.00181,0.005,0.03637,0.0
144,973945,0.00794,0.01311,0.04718,0.00275,0.00275,0.00554,0.01034,0.0001,0.00411,0.01034,0.0
145,975532,0.00934,0.00627,0.00095,0.0001,0.05522,0.00094,0.01584,0.00063,0.0013,0.01584,0.0
146,975924,0.01336,0.02004,0.00078,0.00359,0.08768,0.01632,0.03723,0.00158,0.00902,0.03723,0.0
147,975945,0.01049,0.00479,0.01022,0.00514,0.06465,0.00718,0.03133,0.00457,0.01951,0.03133,0.0
148,976952,0.03414,0.04603,0.06364,0.00474,0.00451,0.20112,0.0529,0.01365,0.09514,0.0529,0.0
149,977025,0.00192,0.0019,0.00191,0.00191,0.0001,0.0001,0.00577,0.0001,0.0001,0.00576,0.0
150,984832,0.00403,0.00539,0.0001,0.0001,0.02889,0.00126,0.00953,0.0001,0.00546,0.00953,0.0
151,985009,0.0001,0.0001,0.0001,0.0001,0.14834,0.00355,0.00533,0.0001,0.00355,0.00533,0.0
152,985210,0.0159,0.17089,0.00501,0.00484,0.00463,0.02449,0.0343,0.00283,0.01942,0.03432,0.0
153,985669,0.01026,0.0055,0.00284,0.00142,0.08728,0.00833,0.02398,0.0001,0.00305,0.02398,0.0
154,986681,0.02493,0.1453,0.00751,0.0001,0.0001,0.0001,0.05519,0.0001,0.00374,0.05519,0.0
155,987903,0.02415,0.00972,0.00296,0.13614,0.0001,0.00535,0.03708,0.00142,0.0049,0.03708,0.0
156,988292,0.00935,0.00942,0.00286,0.0043,0.24759,0.00634,0.03023,0.00169,0.00649,0.03023,0.0
157,989775,0.01121,0.07708,0.00178,0.00178,0.00179,0.00538,0.02136,0.0001,0.00356,0.02136,0.0
158,990193,0.00145,0.00146,0.00145,0.0001,0.00145,0.0001,0.00953,0.0001,0.00582,0.00952,0.0
159,995060,0.0001,0.00375,0.17724,0.0001,0.0001,0.05142,0.00819,0.0001,0.0001,0.00821,0.0
160,995492,0.00707,0.04413,0.00176,0.00176,0.00704,0.007,0.01784,0.0001,0.00708,0.01784,0.0
161,996427,0.24757,0.01391,0.0085,0.01712,0.0001,0.00852,0.07501,0.0001,0.01695,0.07501,0.0
162,997282,0.00912,0.05922,0.0001,0.0001,0.00104,0.01934,0.01907,0.0001,0.00379,0.01907,0.0
163,999626,0.00684,0.00859,0.00217,0.00289,0.09508,0.00257,0.02059,0.0001,0.0025,0.0206,0.0
164,1000074,0.0661,0.01883,0.01088,0.0001,0.00362,0.01387,0.09025,0.0036,0.00078,0.14109,0.0
165,1000075,0.05612,0.01656,0.01237,0.0001,0.0001,0.01047,0.05683,0.0001,0.0197,0.08089,0.0
166,1000125,0.17947,0.16533,0.00618,0.00394,0.0115,0.06332,0.23585,0.00262,0.04246,0.35199,0.0
167,1000176,0.06595,0.06451,0.00561,0.0001,0.02274,0.02107,0.1669,0.0001,0.02013,0.18998,0.0
168,1000186,0.007,0.01134,0.0001,0.0001,0.00457,0.00299,0.02429,0.0001,0.0077,0.02336,0.0
169,1000187,0.02198,0.01297,0.00148,0.00297,0.00147,0.00745,0.04827,0.00149,0.00606,0.05973,0.0
170,1000206,0.03926,0.03757,0.00745,0.00284,0.05196,0.01312,0.10657,0.0001,0.0213,0.07257,0.0
171,1000248,0.01244,0.05216,0.00406,0.0054,0.00929,0.01733,0.01183,0.0001,0.00635,0.04665,0.0
172,1000249,0.04694,0.05666,0.0025,0.00766,0.02534,0.04953,0.15057,0.00558,0.02631,0.15558,0.0
173,1000259,0.01045,0.02155,0.0001,0.00674,0.00334,0.00425,0.04155,0.00682,0.0094,0.04015,0.0
174,1000286,0.02574,0.03229,0.01147,0.00384,0.00775,0.00787,0.09283,0.0001,0.03122,0.08242,0.0
175,1000454,0.00397,0.01824,0.00268,0.0001,0.0001,0.0001,0.04586,0.00268,0.00536,0.05337,0.0
176,1000460,0.03683,0.03494,0.0001,0.01149,0.0001,0.00756,0.09627,0.0038,0.04056,0.07726,0.0
177,1000464,0.00815,0.01425,0.01213,0.0001,0.00634,0.00912,0.04188,0.00161,0.00426,0.03812,0.0
178,1000768,0.03753,0.05636,0.00703,0.00157,0.00795,0.01462,0.06917,0.00105,0.00908,0.10837,0.0
179,1000785,0.04156,0.03973,0.00159,0.00247,0.04219,0.01679,0.09378,0.00093,0.00984,0.08331,0.0
180,1000791,0.07845,0.05944,0.00369,0.00407,0.0068,0.02309,0.11959,0.00252,0.01111,0.17496,0.0
181,1000794,0.0633,0.04043,0.0029,0.00334,0.01012,0.02942,0.13694,0.00337,0.01822,0.17082,0.0
182,1000807,0.01039,0.09693,0.00221,0.0017,0.00442,0.01026,0.0152,0.0001,0.00883,0.09888,0.0
183,1000810,0.03513,0.12576,0.0001,0.00453,0.00453,0.05536,0.02458,0.00303,0.0001,0.09498,0.0
184,1000817,0.01808,0.01194,0.00456,0.00149,0.0001,0.01467,0.03705,0.00304,0.00393,0.04046,0.0
185,1000818,0.02287,0.02897,0.00473,0.00156,0.0297,0.01091,0.08389,0.00262,0.0001,0.08316,0.0
186,1001353,0.07498,0.08745,0.0059,0.00394,0.00425,0.02,0.11573,0.00162,0.02559,0.17005,0.0
187,1001396,0.04067,0.04284,0.00395,0.0038,0.00758,0.03051,0.13186,0.0028,0.00566,0.14418,0.0
188,1001490,0.03723,0.05544,0.01102,0.00311,0.0334,0.03117,0.08476,0.00207,0.0126,0.09419,0.0
189,1001641,0.04948,0.02876,0.0001,0.0001,0.0001,0.01602,0.06517,0.00551,0.00651,0.09863,0.0
190,1001688,0.03458,0.04493,0.0001,0.00478,0.0048,0.01315,0.0422,0.00483,0.01177,0.06576,0.0
191,1002571,0.0207,0.03775,0.00843,0.00435,0.00432,0.02413,0.06418,0.00212,0.00616,0.0778,0.0
192,1002588,0.02894,0.0215,0.00437,0.0001,0.00732,0.01239,0.06518,0.0001,0.00821,0.0786,0.0
193,1002773,0.04824,0.05142,0.00608,0.00487,0.00243,0.04313,0.11149,0.0001,0.01649,0.11978,0.0
194,1002798,0.09378,0.0939,0.00222,0.00712,0.06076,0.03545,0.16718,0.00054,0.02178,0.17854,0.0
195,1002904,0.03014,0.02796,0.00595,0.00966,0.00673,0.01612,0.08357,0.00465,0.00405,0.09534,0.0
196,1002923,0.06034,0.06455,0.00751,0.01147,0.00948,0.04902,0.28318,0.00558,0.02297,0.29871,0.0
197,1002933,0.08314,0.10158,0.00551,0.0055,0.01112,0.0349,0.10387,0.0001,0.02041,0.17055,0.0
198,1002934,0.21216,0.19348,0.00273,0.0001,0.00274,0.01007,0.04393,0.00272,0.01221,0.23843,0.0
199,1003012,0.0544,0.06033,0.01393,0.00345,0.00828,0.04513,0.1564,0.00214,0.03411,0.16655,0.0
200,1003014,0.01918,0.0104,0.00751,0.00989,0.0032,0.01457,0.04336,0.00208,0.0096,0.04096,0.0
201,1003070,0.06526,0.03847,0.00353,0.0058,0.02906,0.02051,0.0403,0.00456,0.01226,0.06424,0.0
202,1003085,0.01052,0.01575,0.00398,0.00398,0.00199,0.01204,0.02891,0.0001,0.00806,0.03261,0.0
203,1003086,0.0345,0.0254,0.0001,0.00197,0.00197,0.0112,0.04857,0.0001,0.00869,0.07188,0.0
204,1003210,0.04876,0.03449,0.00435,0.00432,0.0001,0.02575,0.10944,0.0001,0.01059,0.13245,0.0
205,1003258,0.16043,0.09722,0.01127,0.00561,0.00571,0.06716,0.18967,0.0001,0.03661,0.28294,0.0
206,1003265,0.03462,0.04224,0.00767,0.00339,0.00411,0.025,0.09308,0.00268,0.01221,0.11032,0.0
207,1003268,0.01637,0.01173,0.00196,0.0001,0.00383,0.0001,0.03456,0.00119,0.00385,0.04325,0.0
208,1003271,0.04197,0.04677,0.00109,0.00109,0.00052,0.00998,0.06882,0.00325,0.00762,0.10363,0.0
209,1003329,0.04274,0.03512,0.00272,0.00235,0.00346,0.02395,0.09687,0.00172,0.01211,0.11566,0.0
210,1003490,0.01959,0.02167,0.00374,0.00248,0.00743,0.03348,0.04133,0.00379,0.00254,0.02953,0.0
211,1003535,0.03747,0.04574,0.00201,0.00607,0.00615,0.01817,0.13338,0.00603,0.0192,0.14782,0.0
212,1003574,0.01369,0.01116,0.00239,0.00305,0.01961,0.00772,0.04316,0.00103,0.005,0.03224,0.0
213,1003615,0.01835,0.01698,0.00115,0.00294,0.00371,0.00963,0.03211,0.0011,0.00832,0.03811,0.0
214,1003848,0.01734,0.00922,0.00244,0.00122,0.00368,0.00967,0.03195,0.0012,0.00771,0.03791,0.0
215,1003887,0.01313,0.03597,0.0001,0.00469,0.00524,0.09021,0.15772,0.0001,0.02142,0.10348,0.0
216,1003895,0.0384,0.02424,0.00204,0.00102,0.00102,0.00762,0.02219,0.0001,0.00587,0.05268,0.0
217,1003914,0.01709,0.02072,0.0025,0.00082,0.00082,0.00739,0.03442,0.00082,0.001,0.04774,0.0
218,1004135,0.01758,0.05578,0.00688,0.00157,0.0028,0.01267,0.0206,0.0001,0.0115,0.05799,0.0
219,1004157,0.03256,0.01428,0.00695,0.00463,0.00935,0.02154,0.04931,0.0001,0.00932,0.06033,0.0
220,1004368,0.04554,0.03885,0.00559,0.0091,0.00595,0.01783,0.10088,0.00316,0.0051,0.12858,0.0
221,1004441,0.03521,0.04019,0.00143,0.0043,0.00288,0.0206,0.09266,0.0001,0.01008,0.11225,0.0
222,1004626,0.01692,0.01146,0.01431,0.00276,0.00276,0.00269,0.02428,0.00136,0.00698,0.01855,0.0
223,1004667,0.1173,0.18091,0.00417,0.0001,0.00269,0.03302,0.11415,0.0001,0.02888,0.26201,0.0
224,1004675,0.06004,0.08659,0.00536,0.01594,0.00992,0.07073,0.29229,0.01533,0.10853,0.23908,0.0
225,1004845,0.09588,0.15249,0.01631,0.00385,0.00507,0.0205,0.07552,0.00162,0.01609,0.19399,0.0
226,1004961,0.0422,0.07747,0.0001,0.0001,0.0048,0.0305,0.07324,0.0001,0.03578,0.11013,0.0
227,1004986,0.05864,0.04413,0.00769,0.0018,0.01043,0.01925,0.11301,0.00269,0.01809,0.14314,0.0
228,1004997,0.02255,0.0118,0.0001,0.0001,0.00623,0.01789,0.01323,0.00366,0.00433,0.01788,0.0
229,1005001,0.03163,0.07961,0.00957,0.0001,0.0001,0.02625,0.21957,0.0001,0.03215,0.25746,0.0
230,1005064,0.02828,0.03868,0.00386,0.00776,0.00672,0.00559,0.15078,0.00498,0.03158,0.14513,0.0
231,1005093,0.04547,0.02942,0.0001,0.00259,0.00661,0.0085,0.11856,0.0001,0.00718,0.15025,0.0
232,1005110,0.07668,0.04251,0.00473,0.00633,0.01116,0.02204,0.14643,0.00464,0.01378,0.19816,0.0
233,1005116,0.03613,0.00849,0.00306,0.0001,0.00457,0.00764,0.07886,0.00155,0.00312,0.10726,0.0
