,OMA_group,aln_len,total_gap_count,msa_gap_count,asr_gap_count,min_gap_count,spc_wmin_gap_count,max_gap_count,spc_wmax_gap_count,gap_ratio,num_gappy_sites,avg_gap_len,median_gap_len,mode_gap_len,min_gap_len,spc_wmin_gap_len,max_gap_len,spc_wmax_gap_len,num_ins,num_del,indel_ratio,is_gappy,mu,lambda,loglikelihood,intensity,expected_len,tree_len,per_indel_div
60,978403,717,10,5,5,0,Rattus,1,Mus,0.001267909,1,1.0,1.0,1,0,Rattus,1,Mus,1,0,0.0,1,0.00297402,2.13095,-6069.18,716.521745,0.0063375,0.16228,0.126790922
61,1035184,343,22,12,10,1,Mus,3,Rattus,0.005830904,4,1.294117647,1.0,1,1,Mus,2,Pan,4,2,0.5,1,0.2547,84.1413,-2589.43,330.3545347,21.4307891,0.14404,0.583090379
63,1035213,877,1388,699,689,18,Macaca,165,root,0.143878926,175,29.53191489,9.0,1,1,Mus,117,Mus,175,10,0.057142857,1,0.476776,336.963,-8295.7,706.7532762,160.6558713,0.53234,14.38789261
64,1035248,223,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,175,10,0.057142857,0,1e-06,1e-06,-2246.95,1.0,0.0,0.17129,0.0
68,811481,2051,618,541,77,15,Homo,274,Gorilla,0.027392403,477,7.536585366,1.0,1,1,Mus,260,Gorilla,477,464,0.972746331,1,1.17459,1311.62,-20594.4,1116.661984,1540.615736,0.07957,2.739240282
69,811486,194,72,59,13,0,Homo,44,Pan,0.033739456,44,5.142857143,2.0,2,0,Homo,44,Pan,44,46,1.045454545,1,2.68399,415.29,-1327.82,154.7285944,1114.634207,0.09698,3.373945642
73,1008256,129,3,2,1,0,Pan,1,Mus,0.002114165,1,1.0,1.0,1,0,Pan,1,Mus,1,1,1.0,1,0.0174371,2.23917,-926.92,128.4141285,0.0390446,0.19706,0.21141649
75,802759,197,144,72,72,0,Pan,24,Mus,0.066451315,24,24.0,24.0,24,0,Pan,24,Mus,24,0,0.0,1,0.275577,50.7623,-1509.53,184.203689,13.9889223,0.24903,6.645131518
79,1021287,379,1,1,0,0,Rattus,1,Mus,0.000239866,1,1.0,1.0,1,0,Rattus,1,Mus,1,1,1.0,1,0.00343935,1.30263,-3372.03,378.7430765,0.0044802,0.63185,0.023986568
82,690104,619,109,109,0,0,Pan,106,Rattus,0.016008224,109,54.5,54.5,3,0,Pan,106,Rattus,109,109,1.0,1,0.990708,561.877,-4698.46,567.1469293,556.6560389,0.09072,1.600822441
84,993066,380,2,2,0,0,Mus,2,Rattus,0.000478469,2,1.0,1.0,1,0,Mus,1,Rattus,2,2,1.0,1,0.334211,122.726,-2883.3,367.2111331,41.0163792,0.0983,0.04784689
85,993071,1249,104,55,49,4,Gorilla,18,Mus,0.007569692,23,1.650793651,1.0,1,1,Mus,8,Mus,23,6,0.260869565,1,0.0658926,79.4739,-11932.0,1206.112674,5.2367419,0.52641,0.756969212
87,956700,1762,151,122,29,4,V2,59,Macaca,0.007790734,63,4.081081081,2.0,1,1,Mus,34,Mus,63,93,1.476190476,1,0.946866,1363.85,-15842.6,1440.383328,1291.383194,0.16053,0.779073367
88,956705,735,297,157,140,22,Pan,38,Mus,0.036734694,54,5.303571429,3.0,1,1,Mus,19,Mus,54,17,0.314814815,1,0.15814,106.397,-6411.65,672.80258,16.8256216,0.58905,3.673469388
91,938062,568,81,44,37,2,Mus,10,Gorilla,0.012964149,12,3.681818182,3.0,3,1,Gorilla,6,Pan,12,7,0.583333333,1,0.44083,235.145,-4204.21,533.4142413,103.6589704,0.14627,1.296414853
94,603937,524,93,64,29,1,Pan,20,Rattus,0.016134629,22,5.8125,2.0,1,1,Pan,13,Mus,22,35,1.590909091,1,0.243521,119.306,-4802.94,489.9207871,29.0535164,0.28318,1.613462873
96,809245,301,3,2,1,0,Pan,1,Mus,0.000906071,1,1.0,1.0,1,0,Pan,1,Mus,1,1,1.0,1,0.0992212,29.2958,-2816.2,295.2574651,2.9067644,0.17889,0.090607067
97,809247,1204,283,242,41,8,Pan,111,Rattus,0.021368167,116,15.72222222,6.5,8,1,Macaca,102,Rattus,116,201,1.732758621,1,1.97141,1503.01,-11566.9,762.4035589,2963.048944,0.08363,2.136816672
100,319690,307,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,155,140,0.903225806,0,1e-06,1e-06,-3469.9,1.0,0.0,0.13156,0.0
105,810747,648,45,27,18,2,Pan,7,Mus,0.006313131,15,1.40625,1.0,1,1,Mus,5,Macaca,15,9,0.6,1,0.624318,379.11,-5105.63,607.2386188,236.685197,0.10763,0.631313131
117,973100,347,131,67,64,5,Rattus,14,Mus,0.034320147,17,3.96969697,2.0,2,1,Rattus,9,Mus,17,3,0.176470588,1,0.0663723,21.131,-3058.31,318.3707661,1.4025131,1.354,3.432014671
118,808110,541,20,10,10,0,Pan,5,Mus,0.00336078,5,1.666666667,1.0,1,0,Pan,3,Mus,5,0,0.0,1,0.123659,64.0015,-4407.82,517.5644312,7.9143615,0.35905,0.33607797
119,808112,206,96,48,48,0,Pan,10,Mus,0.042365402,10,6.0,9.0,9,0,Pan,9,Mus,10,0,0.0,1,0.178143,35.1275,-1505.89,197.1870913,6.2577182,0.23992,4.236540159
126,812328,2497,339,293,46,6,Homo,215,Pan,0.012342083,258,5.215384615,1.0,1,1,Mus,211,Pan,258,247,0.957364341,1,0.490243,1058.06,-25165.6,2158.235814,518.7065086,0.30812,1.234208323
133,815603,1006,1698,927,771,54,Rattus,203,Macaca,0.153442978,247,16.81188119,5.0,1,1,Mus,90,Pan,247,156,0.631578947,1,0.664027,515.408,-8754.34,776.1853057,342.244828,0.47565,15.34429785
136,770274,299,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,303,446,1.471947195,0,1e-06,1e-06,-3230.08,1.0,0.0,0.11804,0.0
137,770318,252,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,303,446,1.471947195,0,1e-06,1e-06,-3064.05,1.0,0.0,0.38369,0.0
139,661703,586,70,40,30,6,Mus,9,Macaca,0.010859448,16,5.833333333,6.0,6,1,Rattus,9,Macaca,16,10,0.625,1,0.242092,133.555,-5617.91,551.6704393,32.3325971,0.25499,1.085944772
140,661704,550,226,210,16,2,Homo,98,Pan,0.037355372,103,13.29411765,2.0,2,2,Mus,96,Pan,103,194,1.883495146,1,1.41802,593.591,-5711.93,418.6055204,841.7239098,0.23236,3.73553719
145,300485,108,160,100,60,0,Rattus,20,Mus,0.134680135,20,20.0,20.0,20,0,Rattus,20,Mus,20,40,2.0,1,1.34408,119.273,-676.977,88.7395096,160.3124538,0.16344,13.46801347
152,930751,118,26,13,13,1,Mus,3,Rattus,0.020030817,3,1.625,2.0,2,1,Mus,2,Rattus,3,0,0.0,1,0.0648649,7.32106,-899.389,112.8662805,0.4748798,0.66364,2.003081664
153,930752,134,50,30,20,2,Pan,11,Gorilla,0.033921303,12,2.272727273,1.0,1,1,Mus,8,Gorilla,12,10,0.833333333,1,0.138951,16.6338,-1117.65,119.7098258,2.3112831,0.86487,3.392130258
154,1010854,1384,31,25,6,0,Rattus,18,Macaca,0.002036259,19,3.875,2.0,2,0,Rattus,18,Macaca,19,19,1.0,1,0.249702,329.565,-11826.2,1319.833241,82.2930396,0.19472,0.203625854
156,316220,440,16,8,8,0,Pan,4,Mus,0.003305785,4,2.0,2.0,3,0,Pan,3,Mus,4,0,0.0,1,0.142226,60.6021,-3229.5,426.0971974,8.6191943,0.22005,0.330578512
157,316235,363,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,4,0,0.0,0,1e-06,1e-06,-4179.94,1.0,0.0,0.10344,0.0
160,805709,351,98,56,42,8,Rattus,16,Mus,0.025382025,23,1.96,1.0,1,1,Mus,3,Mus,23,14,0.608695652,1,0.0671089,21.8427,-3155.73,325.481419,1.4658396,1.16991,2.538202538
163,583853,320,40,20,20,0,Mus,5,Pan,0.011363636,5,5.0,5.0,5,0,Mus,5,Pan,5,0,0.0,1,0.313728,94.7818,-2108.01,302.1145706,29.7357046,0.18689,1.136363636
165,995719,543,20,10,10,0,Pan,5,Mus,0.003348401,5,1.25,1.0,1,0,Pan,2,Mus,5,0,0.0,1,0.00540161,2.92433,-4318.73,541.3811808,0.0157961,0.36882,0.334840114
167,995750,2544,620,573,47,4,Homo,227,Pan,0.022155517,251,8.857142857,1.0,1,1,Mus,189,Macaca,251,526,2.09561753,1,0.866746,1448.44,-30036.7,1671.123951,1255.429576,0.21851,2.215551744
168,818147,1929,771,485,286,28,V9,140,Macaca,0.03633536,268,4.10106383,2.0,1,1,Mus,117,Macaca,268,199,0.742537313,1,0.374652,619.951,-18035.6,1654.738264,232.2658821,0.45758,3.633535982
173,960936,414,88,55,33,0,Mus,23,Pan,0.019323671,23,3.259259259,1.0,1,0,Mus,19,Pan,23,22,0.956521739,1,0.298678,112.744,-3290.94,377.4767475,33.6741524,0.32616,1.93236715
174,960961,1378,65,49,16,2,Mus,13,Pan,0.004288165,21,2.6,1.0,1,1,Mus,9,Pan,21,33,1.571428571,1,1.83244,1445.5,-14058.3,788.8389251,2648.79202,0.04268,0.428816467
176,674214,1211,2924,1496,1428,94,Gorilla,293,V7,0.21950304,356,37.01265823,23.0,5,1,Pan,169,Mus,356,68,0.191011236,1,2.42307,1618.82,-9142.24,668.0863533,3922.514177,0.14268,21.95030403
177,676127,423,105,60,45,9,Mus,15,Macaca,0.022566086,24,9.545454545,9.0,9,9,Mus,15,Macaca,24,15,0.625,1,5.70537,1402.93,-3612.58,245.8964099,8004.234734,0.06537,2.25660864
185,989791,367,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,130,166,1.276923077,0,1e-06,1e-06,-4715.67,1.0,0.0,0.2687,0.0
187,793841,161,25,14,11,0,Macaca,4,Pan,0.014116318,4,2.5,2.5,1,0,Macaca,4,Pan,4,3,0.75,1,0.0864079,13.2138,-1466.84,152.9235174,1.1417767,0.58901,1.411631846
190,809496,972,1134,691,443,79,Pan,163,Gorilla,0.106060606,222,29.84210526,21.0,55,3,Mus,68,Gorilla,222,248,1.117117117,1,1.76332,1199.96,-9924.47,680.5117619,2115.913467,0.23478,10.60606061
191,809507,821,611,568,43,4,Homo,173,Pan,0.067655852,203,17.45714286,1.0,1,1,Mus,172,Pan,203,525,2.586206897,1,0.998597,607.19,-8392.73,608.0430844,606.3381124,0.37969,6.765585207
192,809510,424,44,24,20,4,Mus,4,Mus,0.009433962,8,4.0,4.0,4,4,Mus,4,Mus,8,4,0.5,1,0.0805141,33.8316,-3016.44,420.1947237,2.7239208,0.0939,0.943396226
193,737816,697,616,324,292,17,Macaca,71,Pan,0.080344333,88,23.69230769,17.0,41,2,Mus,41,Mus,88,32,0.363636364,1,0.984524,576.647,-7072.94,585.7114707,567.722811,0.19453,8.034433286
194,737818,637,407,223,184,28,Rattus,47,Gorilla,0.058084772,76,7.4,2.0,2,1,Mus,28,Gorilla,76,39,0.513157895,1,1.10447,498.617,-6978.04,451.4536384,550.707518,0.39453,5.808477237
197,942414,267,52,29,23,0,Rattus,7,Pan,0.017705141,7,3.058823529,1.0,1,0,Rattus,6,Pan,7,6,0.857142857,1,0.205254,51.8046,-2101.56,252.3926452,10.6331014,0.27478,1.77051413
206,984796,528,2863,1435,1428,112,Rattus,297,root,0.492940771,304,33.68235294,6.0,1,1,Mus,213,Mus,304,7,0.023026316,1,1.22342,342.097,-3896.94,279.6235144,418.5283117,0.85845,49.29407713
207,984833,601,32,16,16,0,Pan,8,Mus,0.004840417,8,2.0,2.0,3,0,Pan,3,Mus,8,0,0.0,1,0.0208701,12.4239,-4718.95,595.2966205,0.259288,0.41192,0.484041749
213,807685,732,618,341,277,46,Rattus,74,Pan,0.076751118,120,25.75,8.0,47,1,Mus,74,Pan,120,64,0.533333333,1,1.34945,798.304,-6790.26,591.5773093,1077.271333,0.1829,7.675111773
214,807686,470,79,44,35,2,Rattus,13,Gorilla,0.015280464,16,6.076923077,7.0,7,1,Mus,7,Mus,16,9,0.5625,1,0.701083,306.608,-3746.39,437.3348091,214.9576565,0.10333,1.528046422
219,1020121,1045,258,168,90,16,Pan,87,Rattus,0.022444541,99,4.372881356,2.0,2,1,Mus,64,Rattus,99,78,0.787878788,1,1.55021,1307.57,-7735.26,843.4792706,2027.00809,0.11488,2.24445411
227,814131,512,172,139,33,0,Mus,112,Macaca,0.030539773,112,14.33333333,7.0,7,0,Mus,75,Macaca,112,106,0.946428571,1,1.96304,749.552,-4640.73,381.8322602,1471.400558,0.18057,3.053977273
232,965555,443,177,111,66,8,Pan,40,Gorilla,0.036322594,44,5.9,7.0,7,1,Pan,14,Macaca,44,45,1.022727273,1,0.652046,226.674,-3825.53,347.6349828,147.801875,0.44121,3.632259388
235,811006,745,200,109,91,14,Gorilla,22,Mus,0.024405125,36,5.555555556,5.0,1,1,Mus,12,Mus,36,18,0.5,1,0.158611,114.319,-6135.19,720.7507676,18.1322509,0.20628,2.440512508
238,778407,520,65,36,29,4,Mus,7,Pan,0.011363636,11,4.333333333,2.0,2,2,Mus,7,Pan,11,7,0.636363636,1,0.242009,119.436,-4701.8,493.5188361,28.9045869,0.21716,1.136363636
240,778445,152,161,97,64,12,Pan,24,Gorilla,0.096291866,44,8.05,12.0,12,1,Mus,14,Mus,44,33,0.75,1,0.353798,40.1071,-1465.29,113.3615792,14.1898118,1.03737,9.629186603
242,1016325,838,189,104,85,13,Homo,21,Pan,0.020503363,33,6.3,6.0,1,1,Rattus,20,Pan,33,19,0.575757576,1,0.559205,376.336,-8137.65,672.9839683,210.4489729,0.45693,2.050336299
243,1016365,205,6,6,0,0,Mus,5,Gorilla,0.002660754,5,2.0,1.0,1,0,Mus,4,Gorilla,5,6,1.2,1,0.545942,101.55,-1527.71,186.0087702,55.4404101,0.18612,0.266075388
249,1009155,873,378,204,174,31,Mus,36,Pan,0.039362699,65,6.406779661,8.0,1,1,Rattus,11,Mus,65,30,0.461538462,1,1.95342,1271.65,-6749.9,650.986475,2484.066543,0.11341,3.936269916
251,816835,559,56,33,23,1,Pan,17,Mus,0.009107172,20,1.75,1.0,1,1,Mus,5,Mus,20,10,0.5,1,0.143597,75.1735,-4729.09,523.5032765,10.7946891,0.47089,0.91071719
254,1003014,424,419,309,110,3,Pan,138,Gorilla,0.08983705,205,20.95,3.0,3,1,Macaca,135,Gorilla,205,199,0.970731707,1,4.21072,1051.01,-3595.63,249.6033932,4425.508827,0.16075,8.983704974
261,809001,436,400,200,200,20,Mus,40,Pan,0.083402836,40,13.33333333,18.0,2,2,Mus,20,Rattus,40,0,0.0,1,2.04454,669.759,-3991.4,327.5841999,1369.349066,0.16987,8.34028357
263,668175,747,102,53,49,4,Gorilla,11,Pan,0.01241329,12,2.428571429,1.0,1,1,Mus,7,Mus,12,4,0.333333333,1,0.298238,204.299,-6561.86,685.0200176,60.9297252,0.30594,1.241328952
275,934083,296,60,30,30,0,Mus,6,Rattus,0.018427518,6,6.0,6.0,6,0,Mus,6,Rattus,6,0,0.0,1,0.620054,172.284,-1797.66,277.8532192,106.8253833,0.10419,1.842751843
279,308897,281,64,52,12,2,Homo,35,Pan,0.020705273,43,2.133333333,1.0,1,1,Mus,17,Pan,43,40,0.930232558,1,0.111693,29.2793,-2387.59,262.1408683,3.2702929,0.63782,2.070527337
282,808950,1482,166,89,77,13,Gorilla,16,Rattus,0.0101828,28,2.964285714,2.0,1,1,Mus,11,Rattus,28,12,0.428571429,1,1.14259,1170.37,-14572.5,1024.313183,1337.253058,0.09207,1.018279966
289,650273,198,0,0,0,0,Mus,0,Mus,0.0,0,0.0,0.0,0,0,Mus,0,Mus,66,58,0.878787879,0,1e-06,1e-06,-2257.91,1.0,0.0,0.24839,0.0
294,676128,363,460,306,154,21,Pan,90,Gorilla,0.115201603,108,13.52941176,14.0,1,1,Mus,89,Gorilla,108,152,1.407407407,1,1.39021,311.911,-3703.75,224.3625064,433.6217913,0.52043,11.52016028
298,584881,600,93,50,43,8,Rattus,9,Mus,0.014090909,16,3.444444444,1.0,1,1,Mus,7,Mus,16,7,0.4375,1,0.717918,394.151,-4706.61,549.0195259,282.9680976,0.12978,1.409090909
301,954250,556,249,149,100,16,Pan,36,Mus,0.040712884,57,9.222222222,4.0,2,1,Mus,29,Mus,57,49,0.859649123,1,3.84884,1378.05,-4219.77,358.0429428,5303.893962,0.06129,4.071288424
302,954253,505,18,12,6,0,Pan,6,Mus,0.003240324,6,6.0,6.0,6,0,Pan,6,Mus,6,6,1.0,1,0.581813,274.176,-4376.74,471.244197,159.5191611,0.12054,0.324032403
303,954255,544,205,180,25,5,Mus,74,Gorilla,0.034258021,141,8.913043478,4.0,4,1,Mus,73,Gorilla,141,155,1.09929078,1,1.15376,483.759,-5087.49,419.2891069,558.1417838,0.26991,3.425802139
304,954268,392,89,84,5,0,Rattus,77,Gorilla,0.020640074,80,7.416666667,1.0,1,0,Rattus,76,Gorilla,80,79,0.9875,1,0.489893,170.942,-2915.29,348.937421,83.7432892,0.2579,2.064007421
305,1012594,1060,355,245,110,14,Rattus,82,Macaca,0.030445969,98,5.298507463,3.0,1,1,Mus,54,Pan,98,135,1.37755102,1,0.650566,568.573,-10053.2,873.966669,369.8942623,0.33753,3.044596913
306,1012599,1141,1052,575,477,70,Macaca,114,Gorilla,0.083818022,160,7.850746269,2.0,1,1,Mus,51,Mus,160,98,0.6125,1,1.51011,1148.32,-10988.4,760.4214263,1734.089515,0.3339,8.381802247
307,1012602,882,81,44,37,1,Gorilla,17,Mus,0.008348794,20,1.528301887,1.0,1,1,Mus,4,Mus,20,7,0.35,1,0.190162,155.536,-7604.33,817.9131477,29.5770368,0.41301,0.834879406
309,589869,628,68,35,33,3,Pan,12,Mus,0.00984366,14,1.888888889,1.0,1,1,Mus,8,Mus,14,2,0.142857143,1,0.089432,53.6128,-5336.68,599.4811701,4.7946999,0.52407,0.984365953
310,589899,263,81,46,35,1,Mus,11,Pan,0.027998617,12,7.363636364,11.0,11,1,Mus,11,Pan,12,11,0.916666667,1,0.15599,38.4734,-2068.22,246.6401692,6.0014657,0.41768,2.799861735
312,997157,1238,418,248,170,28,Gorilla,84,Pan,0.030694669,112,12.29411765,10.0,10,1,Mus,30,Pan,112,78,0.696428571,1,2.29618,1615.23,-13803.1,703.4422388,3708.858821,0.18194,3.069466882
313,997170,364,80,57,23,1,Pan,36,Macaca,0.01998002,42,2.75862069,1.0,1,1,Mus,29,Macaca,42,34,0.80952381,1,0.0934224,30.5868,-3375.04,327.403278,2.8574923,1.21025,1.998001998
319,741845,580,83,79,4,0,Mus,76,Gorilla,0.013009404,76,9.222222222,1.0,1,0,Mus,75,Gorilla,76,75,0.986842105,1,1.34448,661.742,-5472.98,492.1917767,889.6988842,0.13499,1.300940439
324,314139,740,1119,574,545,61,Mus,121,Pan,0.137469287,138,16.70149254,23.0,25,1,Mus,27,Mus,138,29,0.210144928,1,1.79231,938.82,-6392.27,523.8044758,1682.656474,0.24413,13.74692875
328,971519,1389,1464,931,533,63,Macaca,283,Rattus,0.095817789,358,9.76,2.0,1,1,Mus,118,Gorilla,358,398,1.111731844,1,2.08427,1489.45,-12353.1,714.6147092,3104.415952,0.2046,9.581778912
330,991203,428,337,209,128,25,Pan,62,Gorilla,0.071580289,107,21.0625,25.0,25,1,Mus,62,Gorilla,107,81,0.757009346,1,3.57936,1096.56,-3850.66,306.3564436,3924.983002,0.09713,7.158028887
333,969307,1779,500,358,142,16,Pan,238,Rattus,0.025550616,242,9.259259259,3.0,3,2,Pan,226,Rattus,242,216,0.892561983,1,1.15524,1444.35,-15902.5,1250.259686,1668.570894,0.08016,2.555061577
334,969446,166,43,22,21,0,Pan,11,Mus,0.02354874,11,3.909090909,1.0,1,0,Pan,9,Mus,11,1,0.090909091,1,0.0410843,6.41311,-1240.56,156.0963677,0.2634781,1.52586,2.354874042
346,811932,636,241,123,118,4,Rattus,24,Pan,0.034448256,28,13.38888889,23.0,23,1,Pan,23,Mus,28,5,0.178571429,1,0.541902,311.856,-4910.16,575.4841281,168.9953901,0.19324,3.444825615
348,811945,594,775,429,346,21,Mus,99,Macaca,0.118610346,133,6.56779661,3.0,1,1,Mus,27,Pan,133,83,0.62406015,1,0.115006,57.2636,-5666.0,497.9183695,6.5856576,1.72416,11.86103459
354,948862,766,130,84,46,1,Mus,25,Rattus,0.015428436,45,3.714285714,3.0,1,1,Mus,24,Rattus,45,38,0.844444444,1,1.05091,685.883,-6813.35,652.6562693,720.8013035,0.169,1.542843579
358,976411,244,36,18,18,1,Pan,6,Mus,0.013412817,6,1.5,1.0,1,1,Mus,4,Mus,6,0,0.0,1,0.141718,31.8535,-1956.74,224.7667904,4.5142143,0.60247,1.341281669
359,976415,775,194,116,78,11,Mus,33,Rattus,0.022756598,50,3.660377358,4.0,1,1,Mus,9,Rattus,50,38,0.76,1,0.15827,108.228,-7315.37,683.8187907,17.1292456,0.86153,2.275659824
360,1029122,1061,200,126,74,14,Homo,43,Macaca,0.017136492,68,11.11111111,14.0,14,1,Rattus,29,Macaca,68,52,0.764705882,1,1.16607,988.7,-10749.2,847.8907784,1152.893409,0.22469,1.713649216
365,814630,1586,4923,2706,2217,239,Homo,569,Macaca,0.282185028,584,73.47761194,14.0,1,1,Mus,366,Rattus,584,489,0.837328767,1,3.91528,1834.67,-17044.6,468.5922846,7183.246758,0.27677,28.21850281
370,986977,1465,12,7,5,0,Rattus,3,Mus,0.000744648,3,1.090909091,1.0,1,0,Rattus,2,Mus,3,2,0.666666667,1,0.042567,62.0646,-12761.8,1458.044964,2.6419038,0.08778,0.074464784
374,624036,245,27,15,12,0,Pan,7,Rattus,0.010018553,9,2.454545455,2.0,4,0,Pan,4,Mus,9,3,0.333333333,1,0.0607069,14.3743,-1915.9,236.7819803,0.8726192,0.54284,1.001855288
377,944641,397,140,73,67,9,Rattus,18,Mus,0.032058621,24,3.111111111,3.0,3,1,Mus,9,Mus,24,6,0.25,1,0.410032,144.137,-3601.42,351.5262223,59.1007824,0.31923,3.205862148
378,944642,858,75,40,35,5,Rattus,8,Mus,0.007946599,12,1.41509434,1.0,1,1,Mus,3,Pan,12,5,0.416666667,1,0.286226,228.688,-7355.35,798.9770321,65.4564515,0.25746,0.794659886
380,717931,368,6,6,0,0,Mus,6,Macaca,0.001482213,6,6.0,6.0,6,0,Mus,6,Macaca,6,6,1.0,1,0.273343,94.2133,-2973.99,344.6706153,25.7525461,0.24765,0.148221344
382,718461,1134,35,21,14,0,Mus,7,Pan,0.002805836,7,7.0,7.0,7,0,Mus,7,Pan,7,7,1.0,1,0.593057,641.131,-8817.4,1081.061348,380.2272275,0.07906,0.280583614
383,718466,2110,147,107,40,1,Rattus,58,Mus,0.006333477,69,9.8,12.0,1,1,Mus,56,Mus,69,67,0.971014493,1,0.720508,1307.84,-19177.2,1815.163746,942.3091827,0.09417,0.633347695
386,812902,401,76,58,18,1,Pan,41,Gorilla,0.017229653,46,2.714285714,1.0,1,1,Mus,41,Gorilla,46,40,0.869565217,1,0.357311,128.054,-3601.07,358.3824735,45.7551028,0.33806,1.722965314
389,974068,453,211,145,66,0,Pan,87,Gorilla,0.042343969,88,9.173913043,8.0,8,0,Pan,50,Gorilla,88,79,0.897727273,1,0.586137,224.775,-4404.95,383.4854309,131.7489442,0.31896,4.23439695
