,OMA_group,tree_Mus,tree_Rattus,tree_Pan,tree_Homo,tree_Gorilla,tree_Macaca,tree_V2,tree_V5,tree_V7,tree_V9,tree_root
18,1004406,0.12292,0.10922,0.05283,0.0524,0.12292,0.048119999999999996,0.08925,0.05125,0.05115,0.04455,0.0
19,1004511,0.22028,0.18575000000000003,0.21758,0.21495,0.22027,0.21423999999999999,0.11303,0.21484999999999999,0.21475,0.20479,0.0
20,1004593,0.0144,0.015969999999999998,0.00639,0.00639,0.09102,0.00881,0.00647,0.00629,0.00619,0.00609,0.0
21,1004845,0.1714,0.22801,0.22801,0.21555,0.21515,0.21449,0.07552,0.2117,0.21008,0.19399,0.0
22,1005043,0.19175,0.23648,0.09703,0.23659000000000002,0.10183,0.07491,0.1386,0.09693,0.09683,0.07481,0.0
23,1005337,0.09069,0.29665,0.29472,0.29666,0.29374,0.29639,0.0413,0.29001,0.28767,0.25447,0.0
24,1005341,0.09523000000000001,0.11417,0.10427,0.10394,0.11157,0.11417000000000001,0.05387,0.10174,0.09947,0.0927,0.0
25,1006391,0.13024,0.13363,0.13143,0.13373000000000002,0.13363,0.12579,0.09773,0.1301,0.13,0.11357,0.0
26,1006570,0.0066,0.01321,0.0004,0.0004,0.00030000000000000003,0.0002,0.0001,0.00030000000000000003,0.0002,0.0001,0.0
27,1006589,0.07386000000000001,0.08387,0.08112,0.08248,0.08388,0.08147,0.0529,0.07977,0.07843,0.07174,0.0
28,1006742,0.24649000000000001,0.29653,0.29664,0.28201,0.27240000000000003,0.26184,0.21251,0.27240000000000003,0.2723,0.23386,0.0
29,1007251,0.06387000000000001,0.051879999999999996,0.06,0.06324,0.06312999999999999,0.06387,0.03107,0.0599,0.0598,0.05332,0.0
30,1007342,0.11454,0.10529999999999999,0.11455,0.1133,0.10733999999999999,0.1123,0.06717,0.10289999999999999,0.09988,0.0824,0.0
31,1007426,0.15997,0.15137,0.07279,0.07423,0.15997,0.08843999999999999,0.10774,0.07134,0.07007,0.06082,0.0
32,1008205,0.0637,0.07303,0.06581,0.07167,0.05783,0.07303,0.04804,0.056569999999999995,0.05472,0.0467,0.0
33,1008600,0.04949,0.05519,0.0372,0.03326,0.0552,0.030879999999999998,0.037,0.03227,0.0314,0.02252,0.0
34,1008660,0.02481,0.0858,0.08471000000000001,0.08589,0.08184,0.07731,0.02471,0.08184,0.08174000000000001,0.07721,0.0
35,1008831,0.27404,0.33742,0.32081,0.32081,0.32071,0.33742,0.23339,0.32071,0.32060999999999995,0.30992,0.0
36,1008886,0.14078,0.14554,0.13840000000000002,0.13901000000000002,0.14555,0.13812000000000002,0.09007,0.13411,0.13225,0.1189,0.0
37,1008898,0.06895,0.06947,0.045770000000000005,0.045770000000000005,0.04692,0.06948,0.0491,0.044180000000000004,0.04408,0.04157,0.0
38,1008899,0.13813999999999999,0.11882999999999999,0.10826,0.10558,0.13813,0.11309999999999999,0.08233,0.10183,0.10013999999999999,0.0822,0.0
39,1008909,0.22526000000000002,0.29468,0.29479,0.28943,0.28668,0.27513,0.15828,0.28413,0.28403,0.25767,0.0
40,1009169,0.10175,0.12048999999999999,0.11554,0.12058,0.12042,0.11402000000000001,0.08363,0.11071,0.11061,0.07985,0.0
41,1009206,0.07364,0.07098,0.058,0.05562,0.17452,0.06055,0.053,0.05552,0.055420000000000004,0.05301,0.0
42,1009324,0.01679,0.01481,0.01231,0.01231,0.012209999999999999,0.01385,0.00889,0.012209999999999999,0.01211,0.00886,0.0
43,1009355,0.28947,0.37526,0.36823,0.3728,0.37527,0.36548,0.19204,0.35988,0.35175,0.31894,0.0
44,1009414,0.09543000000000001,0.09418000000000001,0.09539,0.09543,0.0946,0.08128,0.06463,0.09181,0.08911,0.07614,0.0
45,1009498,0.04744,0.05257,0.05267,0.05123,0.05253,0.04662,0.04215,0.05113,0.05103,0.04652,0.0
46,1009703,0.02095,0.021359999999999997,0.021539999999999997,0.02156,0.021449999999999997,0.018099999999999998,0.01612,0.018199999999999997,0.018099999999999998,0.018,0.0
47,1009709,0.24602999999999997,0.24423999999999998,0.22834,0.22313,0.22569,0.24603,0.17034,0.22014,0.21883999999999998,0.20489,0.0
48,1009819,0.11649,0.13196999999999998,0.13198,0.12709,0.12893,0.12986,0.06946,0.12648,0.12465,0.1118,0.0
49,1009823,0.17959,0.1923,0.19234,0.19240000000000002,0.19067,0.17532,0.12567,0.1891,0.189,0.16366,0.0
50,1010132,0.01425,0.01083,0.01101,0.01101,0.01434,0.014260000000000002,0.01073,0.010910000000000001,0.01081,0.01071,0.0
51,1010297,0.01418,0.04677,0.0125,0.0125,0.012400000000000001,0.0123,0.01217,0.012400000000000001,0.0123,0.0122,0.0
52,1010344,0.28507,0.26203,0.25561,0.23819,0.28507,0.21151999999999999,0.18861,0.22921,0.22519,0.19346,0.0
53,1010356,0.03971,0.03383,0.01716,0.01235,0.0397,0.01149,0.02851,0.01078,0.01068,0.00997,0.0
54,1010483,0.06539,0.06397,0.02885,0.03161,0.06539,0.025830000000000002,0.04362,0.02594,0.025840000000000002,0.02295,0.0
55,1010709,0.12559,0.14711,0.1471,0.14085999999999999,0.14528,0.12508,0.08899,0.13962999999999998,0.1381,0.1021,0.0
56,1010811,0.025419999999999998,0.02645,0.02226,0.02121,0.02645,0.01875,0.02062,0.02016,0.02006,0.01512,0.0
57,1011323,0.27884000000000003,0.30267,0.22774,0.24103000000000002,0.30267,0.24782,0.23122,0.21856,0.21555000000000002,0.18842,0.0
58,1011337,0.05379,0.0279,0.046770000000000006,0.0539,0.05151,0.050170000000000006,0.00868,0.04667,0.04657,0.04293,0.0
59,1011498,0.09177,0.08981,0.08973,0.08773,0.08604,0.09176999999999999,0.06219,0.0834,0.08215,0.07532,0.0
60,1011982,0.00308,0.0002,0.00328,0.00328,0.0031799999999999997,0.17276,0.0001,0.0031799999999999997,0.00308,0.0001,0.0
61,1011989,0.0204,0.02781,0.02559,0.023270000000000002,0.02791,0.02307,0.0143,0.02317,0.02307,0.02297,0.0
62,1012179,0.09659999999999999,0.08112,0.08351,0.09670000000000001,0.09653,0.08020000000000001,0.05489,0.07963,0.07953,0.0685,0.0
63,1012299,0.026160000000000003,0.02126,0.02391,0.02625,0.023809999999999998,0.02479,0.01642,0.023809999999999998,0.023710000000000002,0.01517,0.0
64,1012300,0.017329999999999998,0.012509999999999999,0.01274,0.01274,0.05622,0.012539999999999999,0.01241,0.01264,0.012539999999999999,0.01244,0.0
65,1012349,0.04998,0.04742,0.05008,0.03491,0.03854,0.03328,0.03346,0.03306,0.032959999999999996,0.02941,0.0
66,1012492,0.01151,0.01193,0.01224,0.01224,0.01214,0.012039999999999999,0.00827,0.01214,0.012039999999999999,0.01194,0.0
67,1012571,0.04537,0.04329,0.041819999999999996,0.03485,0.0387,0.04537,0.03063,0.03354,0.03344,0.03109,0.0
68,1013162,0.35592,0.36365000000000003,0.33509999999999995,0.33532999999999996,0.36366,0.34113,0.26432,0.33153999999999995,0.33116999999999996,0.30465,0.0
69,1013366,0.35215,0.38343000000000005,0.35919,0.36378,0.36624999999999996,0.38343,0.2674,0.35178,0.35128,0.32131,0.0
70,1013766,0.021169999999999998,0.021169999999999998,0.02127,0.01557,0.015470000000000001,0.01537,0.02107,0.015470000000000001,0.01537,0.01527,0.0
71,1014071,0.10461,0.11839,0.0978,0.09741999999999999,0.09376999999999999,0.11839,0.08058,0.08589,0.08578999999999999,0.08195,0.0
72,1014303,0.03887,0.03887,0.034530000000000005,0.03877,0.03021,0.036140000000000005,0.03877,0.03443,0.03011,0.02661,0.0
73,1014351,0.26075,0.26898,0.26597,0.25993,0.26897,0.26709,0.1487,0.25983,0.25973,0.24773,0.0
74,1014402,0.06856000000000001,0.07428,0.07391,0.06819,0.0723,0.07429,0.04889,0.06809,0.06799,0.06049,0.0
75,1014824,0.07567,0.061340000000000006,0.07207000000000001,0.07556,0.07567,0.07262,0.04492,0.07197,0.06839,0.06503,0.0
76,1015315,0.07055,0.0754,0.06978,0.07541,0.07541,0.07101,0.05386,0.06967999999999999,0.06584999999999999,0.05774,0.0
77,1015847,0.0002,0.0002,0.0022199999999999998,0.0004,0.03977000000000001,0.00202,0.0001,0.00030000000000000003,0.0002,0.0001,0.0
78,1016014,0.03775,0.03702,0.03785,0.03299,0.03289,0.03635,0.02715,0.03289,0.03279,0.02955,0.0
79,1016374,0.01464,0.01824,0.0155,0.0155,0.055940000000000004,0.02105,0.01177,0.0145,0.014400000000000001,0.01118,0.0
80,1016509,0.02333,0.02399,0.02419,0.02419,0.024089999999999997,0.02388,0.01853,0.024089999999999997,0.023989999999999997,0.02252,0.0
81,1016545,0.36135,0.33637,0.08678,0.08676,0.36135,0.05867,0.30003,0.07913,0.07569999999999999,0.04672,0.0
82,1016898,0.04401,0.036680000000000004,0.044109999999999996,0.01736,0.0196,0.01218,0.01999,0.01726,0.01716,0.00976,0.0
83,1016915,0.06776,0.07117,0.056690000000000004,0.056690000000000004,0.07127,0.0635,0.04518,0.05659,0.056490000000000005,0.05639,0.0
84,1016928,0.03231,0.04178,0.04124,0.0417,0.04074,0.04179,0.02501,0.04078,0.03936,0.0346,0.0
85,1016970,0.15218,0.15543,0.13977,0.14088,0.14981,0.15542999999999998,0.13209,0.13559,0.13435,0.12702,0.0
86,1017127,0.03246,0.01206,0.006149999999999999,0.00426,0.00805,0.00406,0.00405,0.00416,0.00406,0.00396,0.0
87,1017138,0.14190999999999998,0.13355,0.1318,0.13334000000000001,0.13184,0.14191,0.09151,0.12875,0.12723,0.12126,0.0
88,1017165,0.02196,0.05963,0.02979,0.02979,0.05973,0.032029999999999996,0.02186,0.029689999999999998,0.029589999999999998,0.02949,0.0
89,1017334,0.21547999999999998,0.29394,0.28726999999999997,0.29403999999999997,0.29164999999999996,0.28158,0.18513,0.28717,0.28707,0.2763,0.0
90,1017399,0.0002,0.0002,0.02983,0.0004,0.00030000000000000003,0.02963,0.0001,0.00030000000000000003,0.0002,0.0001,0.0
91,1017489,0.22887000000000002,0.22839,0.19835000000000003,0.21058000000000002,0.20914000000000002,0.22887000000000002,0.17427,0.19685000000000002,0.19675,0.18604,0.0
92,1017580,0.02548,0.02548,0.00676,0.00676,0.02547,0.00655,0.02538,0.006659999999999999,0.0021799999999999996,0.00208,0.0
93,1017637,0.00826,0.01434,0.01463,0.01463,0.014530000000000001,0.01443,0.00816,0.014530000000000001,0.01443,0.01433,0.0
94,1017932,0.07555,0.06836,0.058609999999999995,0.04587,0.0809,0.06025,0.04557,0.04577,0.04567,0.04557,0.0
95,1018068,0.17059000000000002,0.14564,0.16521,0.16519999999999999,0.16039,0.1706,0.10534,0.16039,0.16029,0.14842,0.0
96,1018616,0.32189,0.36584,0.22313,0.21671,0.36583,0.21834,0.27769,0.21184,0.20616,0.1839,0.0
97,1018681,0.13075,0.13496999999999998,0.13348000000000002,0.13497,0.12944,0.13348000000000002,0.07787,0.12899,0.12322000000000001,0.10866,0.0
98,1018699,0.03389,0.03448,0.03345,0.03458,0.03288,0.03391,0.01523,0.03288,0.032780000000000004,0.03107,0.0
99,1018851,0.00925,0.00925,0.041010000000000005,0.00752,0.14409,0.04074,0.0072,0.0074199999999999995,0.00732,0.00722,0.0
100,1019077,0.013009999999999999,0.030719999999999997,0.01384,0.02228,0.03083,0.02206,0.01291,0.01374,0.01364,0.01354,0.0
101,1019157,0.02808,0.02726,0.02819,0.0156,0.01447,0.01662,0.0191,0.01448,0.013909999999999999,0.01381,0.0
102,1019470,0.10327999999999998,0.12032999999999999,0.12043,0.11971,0.1174,0.10016,0.07118,0.11320999999999999,0.11310999999999999,0.09441,0.0
103,1019472,0.18717,0.21202,0.21212999999999999,0.20645,0.20635,0.19852,0.14154,0.20364,0.20354,0.17257,0.0
104,1019797,0.15882000000000002,0.14301,0.15882000000000002,0.15399000000000002,0.154,0.14712,0.11715,0.14836,0.14571,0.11318,0.0
105,1019829,0.0283,0.03248,0.032490000000000005,0.03068,0.03068,0.0317,0.0195,0.028880000000000003,0.02843,0.0262,0.0
106,1019841,0.27105999999999997,0.28811,0.28822000000000003,0.20044,0.19208000000000003,0.21737,0.24957,0.18801,0.18791000000000002,0.16001,0.0
107,1019860,0.07033,0.04161,0.06881,0.06519,0.07032,0.058339999999999996,0.03408,0.06509,0.06498999999999999,0.05354,0.0
108,1020173,0.07150000000000001,0.0726,0.06619,0.061200000000000004,0.0716,0.0726,0.05299,0.05624,0.05614,0.0497,0.0
109,1020342,0.08088,0.08648,0.06767,0.06767,0.0747,0.08649,0.06315,0.06416,0.06406,0.04761,0.0
110,1020388,0.08537,0.10952,0.10248,0.10963,0.10186,0.09727000000000001,0.069,0.09423000000000001,0.09413,0.0879,0.0
111,1020406,0.0245,0.02762,0.02528,0.024210000000000002,0.02518,0.027620000000000002,0.01705,0.02411,0.02401,0.02391,0.0
112,1020497,0.06357,0.05824,0.06377000000000001,0.06377000000000001,0.06367,0.055420000000000004,0.04331,0.06367,0.06357,0.05532,0.0
113,1020514,0.06159,0.07608000000000001,0.07565,0.07454,0.07457,0.07608999999999999,0.04954,0.07343999999999999,0.07235,0.06412,0.0
114,1020717,0.03583,0.03303,0.024099999999999996,0.02668,0.03583,0.021169999999999998,0.02676,0.024,0.023899999999999998,0.01851,0.0
115,1021076,0.05495,0.05494,0.05062,0.05251,0.054959999999999995,0.03929,0.04559,0.04903,0.04757,0.03421,0.0
116,1021142,0.36595999999999995,0.34985,0.35169,0.35512,0.35322,0.36595,0.25458,0.34596,0.34487,0.32586,0.0
117,1021236,0.0707,0.07306,0.07316,0.06722,0.07306,0.07164,0.04494,0.06712,0.06702,0.05241,0.0
118,1021276,0.010839999999999999,0.01282,0.0413,0.00721,0.00711,0.0411,0.00692,0.00711,0.007010000000000001,0.00691,0.0
119,1021354,0.10268,0.07227,0.10277,0.09762,0.09752,0.09418,0.04801,0.09752,0.09742,0.08211,0.0
120,1021630,0.03907,0.05455,0.04832,0.04832,0.04822,0.05455,0.02469,0.04822,0.04812,0.04802,0.0
121,1021756,0.00932,0.00524,0.0071400000000000005,0.00319,0.0030900000000000003,0.00299,0.0012,0.0030900000000000003,0.00299,0.00289,0.0
122,1021872,0.07181,0.07232,0.06743,0.07141,0.06349,0.07233,0.055,0.06348,0.0625,0.05674,0.0
123,1021987,0.03803,0.034589999999999996,0.03813,0.03546,0.02761,0.02751,0.02651,0.0328,0.02751,0.02741,0.0
124,1022106,0.04739,0.0533,0.04925,0.04566,0.044700000000000004,0.0533,0.04388,0.04556,0.0446,0.0422,0.0
125,1022107,0.0942,0.08393,0.08696,0.09092,0.08768000000000001,0.0942,0.05887,0.0833,0.0832,0.07714,0.0
126,1022226,0.09659000000000001,0.09577000000000001,0.09659,0.09136,0.09247,0.08817,0.0777,0.09126000000000001,0.0901,0.06325,0.0
127,1022234,0.22910999999999998,0.18821,0.22855,0.22855,0.22845,0.22911,0.16377,0.22845,0.22835,0.20759,0.0
128,1022712,0.15154,0.17613,0.17613,0.16808,0.16578,0.16437000000000002,0.10938,0.16408,0.16195,0.14366,0.0
129,1023107,0.25892,0.30835999999999997,0.30564,0.30845,0.29963,0.2858,0.1789,0.2967,0.2966,0.26443,0.0
130,1023706,0.07246,0.08108,0.08109,0.07367,0.07361000000000001,0.08014,0.06675,0.07357,0.06982000000000001,0.0655,0.0
131,1023854,0.06505,0.06356,0.06515,0.058039999999999994,0.05871,0.06042,0.04827,0.05726,0.057159999999999996,0.04969,0.0
132,1023897,0.16756,0.16283999999999998,0.13746999999999998,0.13441,0.16757,0.14543999999999999,0.14214,0.13430999999999998,0.13132,0.11814,0.0
133,1023904,0.09809,0.07205,0.09819,0.09818,0.09493,0.09274,0.07195,0.09493,0.09483000000000001,0.0855,0.0
134,1024194,0.10469,0.10054,0.09881000000000001,0.10247,0.09884000000000001,0.10469,0.08454,0.09786,0.09694000000000001,0.09001,0.0
135,1024270,0.10711999999999999,0.12365999999999999,0.12147,0.12197,0.12365999999999999,0.11812,0.0856,0.11324000000000001,0.11314,0.0979,0.0
136,1024352,0.26987,0.30114,0.29461000000000004,0.28876,0.29452,0.30115000000000003,0.19194,0.28866,0.28856000000000004,0.25645,0.0
137,1024362,0.14867,0.14687,0.14867000000000002,0.08309,0.11093,0.06441,0.12295,0.07473,0.06379,0.04218,0.0
138,1024389,0.10031999999999999,0.11377,0.11134,0.10777,0.1065,0.11377999999999999,0.06423,0.10482,0.10472,0.09397,0.0
139,1024427,0.039580000000000004,0.048990000000000006,0.043309999999999994,0.047799999999999995,0.04665,0.04899,0.03194,0.04321,0.043109999999999996,0.0406,0.0
140,1024606,0.12725,0.13198000000000001,0.12933,0.11065,0.11066,0.13199,0.09474,0.10754,0.10744,0.09838,0.0
141,1024726,0.00168,0.0032300000000000002,0.005240000000000001,0.0004,0.00030000000000000003,0.01841,0.00158,0.00030000000000000003,0.0002,0.0001,0.0
142,1024763,0.12815000000000001,0.1353,0.12861,0.13494,0.13530999999999999,0.11081,0.03363,0.12851,0.12219,0.10345,0.0
143,1024981,0.08938,0.10358,0.01426,0.018930000000000002,0.10368000000000001,0.02108,0.0693,0.01416,0.01406,0.01396,0.0
144,1025054,0.17605,0.16904000000000002,0.12758,0.14501999999999998,0.16347,0.17604999999999998,0.13328,0.12748,0.12738,0.11899,0.0
145,1026000,0.00241,0.00479,0.02599,0.01426,0.014159999999999999,0.028229999999999998,0.0001,0.014159999999999999,0.01406,0.01172,0.0
146,1026103,0.10156000000000001,0.11849000000000001,0.11105,0.11105,0.10807,0.11848,0.07519,0.10358,0.10348,0.10338,0.0
147,1026215,0.10907,0.12086,0.12086,0.07081,0.07293,0.055929999999999994,0.07213,0.07071,0.06858,0.04402,0.0
148,1026365,0.08224000000000001,0.06517,0.07591,0.0759,0.07921,0.08225,0.06026,0.07165,0.07155,0.06241,0.0
149,1026946,0.01763,0.01763,0.0074399999999999996,0.0074399999999999996,0.01763,0.00724,0.01753,0.007339999999999999,0.00724,0.00714,0.0
150,1026977,0.08635,0.07601,0.08645,0.08220000000000001,0.08636,0.08302000000000001,0.06799,0.0821,0.082,0.07484,0.0
151,1027012,0.0087,0.00432,0.00612,0.00612,0.006019999999999999,0.0087,0.0029,0.006019999999999999,0.00592,0.00582,0.0
152,1027206,0.30061,0.18095999999999998,0.2634,0.2634,0.26895,0.30062,0.14286,0.26330000000000003,0.2632,0.261,0.0
153,1027394,0.08052,0.08233,0.07765999999999999,0.0715,0.07773,0.08234,0.04733,0.07139999999999999,0.06828,0.0642,0.0
154,1027791,0.21372,0.23226999999999998,0.23096,0.23227,0.23079,0.21582,0.13834,0.22537000000000001,0.21816,0.1958,0.0
155,1027806,0.1554,0.15176,0.12584,0.12584,0.12445,0.15539999999999998,0.1247,0.12445,0.12435,0.123,0.0
156,1028174,0.0583,0.058589999999999996,0.03885,0.03885,0.05858,0.04128,0.05293,0.03875,0.03865,0.03535,0.0
157,1028193,0.21059,0.20298,0.20132,0.19675,0.21056000000000002,0.2106,0.15642,0.19665000000000002,0.19655,0.15176,0.0
158,1028294,0.03393,0.03747,0.03449,0.03719,0.03748,0.03633,0.02284,0.034390000000000004,0.03429,0.02934,0.0
159,1028306,0.0043100000000000005,0.00717,0.00747,0.00747,0.00737,0.00727,0.00144,0.00737,0.00727,0.00717,0.0
160,1028378,0.01534,0.02263,0.01516,0.01516,0.022629999999999997,0.011389999999999999,0.01524,0.01506,0.01496,0.01129,0.0
161,1028571,0.058820000000000004,0.07388,0.07126,0.06958,0.07172,0.07388,0.04746,0.06847,0.06837,0.06149,0.0
162,1028800,0.05146,0.06881999999999999,0.0643,0.045660000000000006,0.05399,0.06882,0.04851,0.04556,0.04546,0.0413,0.0
163,1028944,0.0303,0.02333,0.01763,0.01528,0.01692,0.06053,0.01349,0.015179999999999999,0.0136,0.0135,0.0
164,1029289,0.01656,0.02635,0.02654,0.01098,0.01088,0.0121,0.01428,0.01088,0.01078,0.01068,0.0
165,1029473,0.0106,0.0106,0.0107,0.01052,0.00705,0.01031,0.0105,0.00705,0.0069500000000000004,0.00685,0.0
166,1029643,0.10658000000000001,0.09838,0.10669,0.10124999999999999,0.09931,0.09222,0.06611,0.0957,0.09559999999999999,0.08181,0.0
167,1029924,0.04593,0.04614,0.04028,0.03875,0.04557,0.04614,0.03221,0.038650000000000004,0.03855,0.03672,0.0
168,1030062,0.08268,0.07896,0.02572,0.02697,0.08268,0.02812,0.05705,0.02448,0.02438,0.02055,0.0
169,1030218,0.16247,0.15256999999999998,0.11751,0.12639,0.11187,0.16247,0.12921,0.11537,0.11177000000000001,0.09345,0.0
170,1030936,0.23678,0.2146,0.17185,0.16846,0.23676999999999998,0.17851,0.15597,0.16521,0.16510999999999998,0.12766,0.0
171,1030957,0.17776999999999998,0.1976,0.11134,0.10658999999999999,0.1976,0.09974999999999999,0.11734,0.10192999999999999,0.10182999999999999,0.07891,0.0
172,1030997,0.0516,0.06609000000000001,0.06272,0.06272,0.06394999999999999,0.06609,0.02971,0.06262,0.06129,0.05832,0.0
173,1031205,0.022690000000000002,0.012029999999999999,0.02138,0.02138,0.0227,0.02034,0.00818,0.02043,0.02033,0.01915,0.0
174,1031818,0.13728,0.1414,0.13532,0.13291999999999998,0.1306,0.14140999999999998,0.11808,0.13244,0.1291,0.12498,0.0
175,1031917,0.013340000000000001,0.03612,0.03611,0.03485,0.00631,0.00541,0.0108,0.02318,0.00423,0.00396,0.0
176,1032123,0.03153,0.02333,0.027680000000000003,0.02914,0.030600000000000002,0.03153,0.01498,0.02695,0.02621,0.02262,0.0
177,1032315,0.04999,0.04016,0.048330000000000005,0.05008,0.04988,0.04703,0.02359,0.04823,0.04813,0.04619,0.0
178,1032760,0.01551,0.011529999999999999,0.05408,0.0139,0.0257,0.02975,0.01143,0.0138,0.011519999999999999,0.01142,0.0
179,1033257,0.07051,0.07697,0.06301000000000001,0.05584,0.057760000000000006,0.07697000000000001,0.05496,0.04939,0.04929,0.04499,0.0
180,1033267,0.002,0.002,0.004,0.004,0.003,0.002,0.001,0.003,0.002,0.001,0.0
181,1033481,0.12592,0.13683,0.09079999999999999,0.09584999999999999,0.10626,0.13683,0.09345,0.0907,0.0906,0.08957,0.0
182,1033745,0.01093,0.00653,0.00687,0.00687,0.011030000000000002,0.006670000000000001,0.00436,0.00677,0.006670000000000001,0.00657,0.0
183,1033755,0.1427,0.18397,0.16212000000000001,0.16502,0.16202,0.18397,0.09636,0.16202,0.15903,0.15567,0.0
184,1034151,0.17542,0.16243,0.16171,0.15922,0.17132,0.17541,0.12824,0.15911999999999998,0.15902,0.14184,0.0
185,1034252,0.11094,0.053130000000000004,0.10553,0.10553,0.11094000000000001,0.10194,0.0466,0.10543,0.10533000000000001,0.08325,0.0
186,1034292,0.038349999999999995,0.022510000000000002,0.03209,0.03209,0.03199,0.038349999999999995,0.01949,0.03199,0.03189,0.03179,0.0
187,1034435,0.03955,0.07584,0.04717,0.04786,0.07585,0.062189999999999995,0.02125,0.04683,0.046259999999999996,0.04491,0.0
188,1034674,0.07189,0.06983,0.07188,0.06123,0.06021,0.07152,0.05364,0.05821,0.05661,0.04918,0.0
189,1034722,0.03598,0.0329,0.03333,0.03333,0.03323,0.03599,0.01698,0.03049,0.03039,0.03029,0.0
190,1034783,0.01263,0.02617,0.01457,0.01031,0.02617,0.01337,0.01124,0.01021,0.010110000000000001,0.00881,0.0
191,1034825,0.1006,0.09222999999999999,0.1006,0.09756,0.09573,0.08779999999999999,0.0706,0.09219,0.08584,0.06631,0.0
192,1034877,0.02061,0.02236,0.01871,0.01871,0.022449999999999998,0.01851,0.01709,0.018609999999999998,0.01851,0.01841,0.0
193,1034878,0.026979999999999997,0.0301,0.0302,0.02748,0.02738,0.01889,0.02276,0.02738,0.02728,0.01879,0.0
194,1034931,0.0113,0.01827,0.018570000000000003,0.018570000000000003,0.01847,0.01837,0.0112,0.01847,0.01837,0.01827,0.0
195,1034939,0.25651999999999997,0.23391,0.25116,0.25661,0.25106,0.25295999999999996,0.17845,0.25106,0.25096,0.21841,0.0
196,1035193,0.09806999999999999,0.09102,0.09688,0.09818,0.09678,0.09677,0.05704,0.09307,0.09297,0.09014,0.0
197,1035329,0.10203,0.0993,0.10202,0.10086,0.09426999999999999,0.09717,0.079,0.09568,0.09304,0.07123,0.0
198,1035432,0.18077,0.13923,0.15958,0.16303,0.15973,0.18077000000000001,0.09802,0.15294,0.14967,0.12506,0.0
199,1036280,0.0098,0.01613,0.0035,0.009810000000000001,0.0034000000000000002,0.01612,0.0097,0.0034000000000000002,0.0033,0.0032,0.0
200,1036360,0.0294,0.02808,0.02697,0.0295,0.02837,0.02389,0.02293,0.0257,0.0256,0.02221,0.0
201,1036445,0.2281,0.26031,0.21818,0.22126,0.22803,0.26031,0.11705,0.21808,0.21798,0.21775,0.0
202,1036928,0.01498,0.010589999999999999,0.01689,0.019039999999999998,0.01679,0.10874,0.01049,0.01679,0.01669,0.01049,0.0
203,1036981,0.04237,0.03546,0.027970000000000002,0.027970000000000002,0.02787,0.042370000000000005,0.02864,0.02617,0.02607,0.02597,0.0
204,1037065,0.0071600000000000006,0.0071600000000000006,0.04914,0.00736,0.01186,0.01335,0.00706,0.00726,0.0071600000000000006,0.00706,0.0
